date,season,week,eventName,sherdogIdA,sherdogIdB,ourIdA,ourIdB,nameA,nameB,winnerSherdogId,method,round
2024-08-13,2024,1,Dana White's Contender Series - Contender Series 2024: Week 1,Mansur-AbdulMalik-393926,Wesley-Schultz-338469,b9562bf0e19e971a,,Mansur Abdul-Malik,Wesley Schultz,Mansur-AbdulMalik-393926,TKO (Elbows and Punches),2
2024-08-13,2024,1,Dana White's Contender Series - Contender Series 2024: Week 1,Bruno-Lopes-144007,Mikheil-Sazhiniani-315835,d13c8ceda8609795,,Bruno Lopes,Mikheil Sazhiniani,Bruno-Lopes-144007,TKO (Punches),2
2024-08-13,2024,1,Dana White's Contender Series - Contender Series 2024: Week 1,Ernie-Juarez-269253,Jose-Delgado-307733,,2f88f17add7669c5,Ernie Juarez,Jose Delgado,Jose-Delgado-307733,KO (Knee and Punches),2
2024-08-13,2024,1,Dana White's Contender Series - Contender Series 2024: Week 1,An-Tuan-Ho-307731,Loneer-Kavanagh-213249,,10a96d52c89b5469,An Tuan Ho,Lone'er Kavanagh,Loneer-Kavanagh-213249,KO (Punch),1
2024-08-20,2024,2,Dana White's Contender Series - Contender Series 2024: Week 2,Hugo-Cunha-227763,Rizvan-Kuniev-86319,,16862aff18bed355,Hugo Cunha,Rizvan Kuniev,Rizvan-Kuniev-86319,TKO (Knee to the Body and Punches),1
2024-08-20,2024,2,Dana White's Contender Series - Contender Series 2024: Week 2,Cameron-Rowston-239381,Torrez-Finney-379262,,ac54fb7dcc875b59,Cameron Rowston,Torrez Finney,Torrez-Finney-379262,Decision (Unanimous),3
2024-08-20,2024,2,Dana White's Contender Series - Contender Series 2024: Week 2,Billy-Brand-128455,Cody-Haddon-286511,,8a1aa5c3cd50dedf,Billy Brand,Cody Haddon,Cody-Haddon-286511,Submission (Rear-Naked Choke),1
2024-08-27,2024,3,Dana White's Contender Series - Contender Series 2024: Week 3,Andrey-Pulyaev-398399,Liam-Anderson-299651,634eda97df9caa0e,,Andrey Pulyaev,Liam Anderson,Andrey-Pulyaev-398399,Decision (Unanimous),3
2024-08-27,2024,3,Dana White's Contender Series - Contender Series 2024: Week 3,Bogdan-Grad-156707,Michael-Aswell-286497,c15f8ac4d76af53a,bbad8cc98783fae1,Bogdan Grad,Michael Aswell Jr.,Bogdan-Grad-156707,Decision (Split),3
2024-09-03,2024,4,Dana White's Contender Series - Contender Series 2024: Week 4,Austin-Bashi-362871,Dorian-Ramos-203579,87bd1fc4820e6e6f,,Austin Bashi,Dorian Ramos,Austin-Bashi-362871,Submission (Rear-Naked Choke),2
2024-09-10,2024,5,Dana White's Contender Series - Contender Series 2024: Week 5,Taiga-Iwasaki-375260,Yousri-Belgaroui-380449,,02e16570ff7efb38,Taiga Iwasaki,Yousri Belgaroui,Yousri-Belgaroui-380449,TKO (Punches),3
2024-09-10,2024,5,Dana White's Contender Series - Contender Series 2024: Week 5,Navajo-Stirling-413272,Phillip-Latu-392424,0b43bf0acbd22ca3,,Navajo Stirling,Phillip Latu,Navajo-Stirling-413272,KO (Punch),2
2024-09-10,2024,5,Dana White's Contender Series - Contender Series 2024: Week 5,Josias-Musasa-416801,Otari-Tanzilovi-333455,ef4f913e6a99246b,,Josias Musasa,Otari Tanzilovi,Josias-Musasa-416801,Decision (Split),3
2024-09-17,2024,6,Dana White's Contender Series - Contender Series 2024: Week 6,Aaron-Tau-228831,Elijah-Smith-385324,,28922ab0ce7d617b,Aaron Tau,Elijah Smith,Elijah-Smith-385324,Decision (Unanimous),3
2024-09-17,2024,6,Dana White's Contender Series - Contender Series 2024: Week 6,Arthur-Lopes-196611,Tallison-Teixeira-394342,,395835d15985848e,Arthur Lopes,Tallison Teixeira,Tallison-Teixeira-394342,KO (Punches),1
2024-09-24,2024,7,Dana White's Contender Series - Contender Series 2024: Week 7,Alexia-Thainara-287251,Rose-Conceicao-211299,3808fc6e211485cf,,Alexia Thainara,Rose Conceicao,Alexia-Thainara-287251,Decision (Unanimous),3
2024-09-24,2024,7,Dana White's Contender Series - Contender Series 2024: Week 7,Cam-Teague-337869,Kevin-Vallejos-391233,,f82c365cb6b6a2e8,Cam Teague,Kevin Vallejos,Kevin-Vallejos-391233,TKO (Punches),1
2024-09-24,2024,7,Dana White's Contender Series - Contender Series 2024: Week 7,Daniel-Frunza-219965,Vadym-Kutsyi-168917,d9935a239ea022f2,,Daniel Frunza,Vadym Kutsyi,Daniel-Frunza-219965,TKO (Punches),2
