Fighter_Id,Full Name,Ht.,Wt.,Reach,Stance
c9bce4b58587da90,Maycee Barber,"5' 5""",125,65,Switch
a9b7c0eff1396b5b,Michael Chiesa,"6' 1""",170,75,Southpaw
e3116e06ecdcad09,Niko Price,"6' 0""",170,76,Orthodox
7dbe9bb9a5b973b5,Julian Erosa,"6' 1""",145,74,Southpaw
26f15079cf039c8c,Lerryan Douglas,"5' 9""",145,72,Orthodox
b9562bf0e19e971a,Mansur Abdul-Malik,"6' 2""",185,80,Orthodox
02e16570ff7efb38,Yousri Belgaroui,"6' 5""",185,79,Orthodox
d75d3c014f3a0d70,Terrance McKinney,"5' 10""",155,73,Switch
14969e972edf065c,Kyle Nelson,"5' 11""",155,71,Switch
1979d2ef989e7265,Ignacio Bahamondes,"6' 3""",155,75,Orthodox
453d16339a1c9b31,Tofiq Musayev,"5' 9""",155,69,Orthodox
61aca8157bf71afd,Chase Hooper,"6' 1""",155,74,Southpaw
60dd552a80e10dab,Lance Gibson Jr.,--,155,--,
3a7dd104278b1800,Marcin Tybura,"6' 3""",246,78,Orthodox
41e41e4d372a0ff3,Tyrell Fortune,,,,
357346d53e3f2652,Casey O'Neill,"5' 6""",125,69,Orthodox
99ea8e8d3db8f1a9,Gabriella Fernandes,"5' 6""",125,66,Southpaw
0b43bf0acbd22ca3,Navajo Stirling,"6' 4""",205,79,Orthodox
d13c8ceda8609795,Bruno Lopes,"6' 2""",205,74,Orthodox
a0811e03ef7082c8,Ricky Simon,"5' 6""",135,69,Orthodox
f11750d4f48eb942,Adrian Yanez,"5' 7""",135,70,Orthodox
3808fc6e211485cf,Alexia Thainara,"5' 4""",115,67,Orthodox
90ae69e9a9137984,Bruna Brasil,"5' 6""",115,65,Orthodox
eb764bb66e7f3030,Movsar Evloev,"5' 7""",145,72,Orthodox
7468010a5070b907,Lerone Murphy,"5' 9""",145,73,Orthodox
2c5a8031b203a4e5,Luke Riley,--,145,--,
bbad8cc98783fae1,Michael Aswell Jr.,,,,
de9b370a0b1c44a9,Michael Page,"6' 3""",185,79,Switch
949e6bb465af017b,Sam Patterson,"6' 3""",170,78,Orthodox
f7012ef25547fc99,Iwo Baraniewski,"6' 0""",205,73,Orthodox
f7d9010e13806799,Austen Lane,"6' 6""",245,80,Orthodox
900105052b1946b1,Roman Dolidze,"6' 2""",185,76,Orthodox
ba40e07b06503a8c,Christian Leroy Duncan,"6' 2""",185,79,Switch
e25181125365fbe6,Kurtis Campbell,"5' 9""",145,72,Switch
07f69c437c68f468,Danny Silva,"5' 11""",145,70,Switch
384b9ef43aa01a73,Mason Jones,"5' 10""",155,74,Orthodox
a892819bc8e25b5a,Axel Sola,"6' 2""",170,74,Southpaw
00bf0d84c07bafc5,Nathaniel Wood,"5' 6""",145,69,Orthodox
6654318100e87744,Losene Keita,"5' 8""",145,72,Orthodox
3f143ed5d6b45e39,Mario Pinto,"6' 5""",265,79,Orthodox
dad9b43cf7480f68,Felipe Franco,"6' 1""",205,76,Orthodox
a2abca58544b6a7b,Mantas Kondratavicius,"6' 2""",185,75,Orthodox
64794ca3e674f4b1,Antonio Trocoli,"6' 6""",185,79,Orthodox
f1195dbd3ad1d780,Shem Rock,,,,
56ae4acb4e3f6e6b,Abdul-Kareem Al-Selwady,"5' 8""",155,69,Orthodox
1a5943119d358e11,Shanelle Dyer,"5' 6""",115,65,Orthodox
6eac40c13b114758,Ravena Oliveira,"5' 5""",115,65,Orthodox
470ffc8f48859da9,Josh Emmett,"5' 6""",145,70,Orthodox
f82c365cb6b6a2e8,Kevin Vallejos,"5' 7""",145,68,Switch
deadb348f846ea90,Amanda Lemos,"5' 4""",115,65,Southpaw
bd86cff59cdab666,Gillian Robertson,"5' 5""",115,63,Orthodox
37965f5e8d73ed22,Andre Fili,"5' 11""",145,74,Orthodox
2f88f17add7669c5,Jose Delgado,"5' 11""",145,74,Switch
93efefee6f6403e8,Harry Hardwick,"5' 8""",155,71,Switch
4b69b3ef64951c28,Ion Cutelaba,"6' 1""",205,75,Southpaw
e5f3f443faf8da23,Oumar Sy,"6' 4""",205,83,Orthodox
6b565d153901a9e1,Charles Johnson,"5' 9""",125,70,Switch
0125dc31ba4e5f14,Bruno Silva,"6' 0""",185,74,Orthodox
9fc426aaa44255d9,Chris Curtis,"5' 10""",170,75,Orthodox
96175d750571d1d3,Myktybek Orolbai,"5' 10""",155,74,Orthodox
d04b8d5ce7a65c4f,Vitor Petrino,"6' 2""",265,77,Orthodox
7d1e163720b62145,Steven Asplund,"6' 5""",261,78,Orthodox
28922ab0ce7d617b,Elijah Smith,"5' 9""",135,71,Orthodox
b93b710e2308d189,SuYoung You,"5' 6""",135,65,Orthodox
8973247f6808fbfd,Bolaji Oki,"5' 10""",155,73,Orthodox
a175cb5d70c753c6,Manoel Sousa,"5' 9""",155,70,Orthodox
d22abf14634b6e90,Brad Tavares,"6' 1""",185,74,Orthodox
f5e2ac299e039054,Eryk Anders,"6' 1""",185,75,Southpaw
531b1735dc9f2f60,Bia Mesquita,--,135,--,Orthodox
c9abda4e3d5582ad,Montse Rendon,"5' 8""",135,68,Orthodox
fcd67980557f2e84,Luan Lacerda,"5' 7""",135,71,Orthodox
205e928621a6f62d,Hecher Sosa,"5' 9""",135,70,Orthodox
904ca6578a6ca8eb,Piera Rodriguez,"5' 3""",115,63,Orthodox
c87f8c1d3d4d01fe,Sam Hughes,"5' 5""",115,64,Orthodox
fe8d8a8c3b0afe3e,Max Holloway,"5' 11""",145,69,Orthodox
01827249d3b138b8,Charles Oliveira,"5' 10""",155,74,Orthodox
b483569c9c54cfc6,Caio Borralho,"6' 1""",185,75,Southpaw
db3f5063058ec38a,Reinier de Ridder,"6' 4""",185,78,Southpaw
deb2e9b4a9179872,Rob Font,"5' 8""",135,71,Orthodox
880ed8d5af0c13b1,Raul Rosas Jr.,"5' 9""",135,67,Switch
4eb5d85bfd99d0f5,Drew Dober,"5' 8""",155,70,Southpaw
6539dfcd12383095,Michael Johnson,"5' 10""",155,73,Southpaw
2127684a702c4006,Gregory Rodrigues,"6' 3""",185,75,Orthodox
b4fb66059bd82743,Brunno Ferreira,"5' 10""",185,72,Orthodox
2dcc031de9b13dcc,Cody Garbrandt,"5' 8""",135,65,Orthodox
d11e3f2e5deb833f,Xiao Long,"5' 8""",135,70,Orthodox
62eb06895e1e4b0b,Donte Johnson,"5' 8""",185,74,Southpaw
8599d31404ff0b34,Ricky Turcios,"5' 9""",135,71,Orthodox
837d7b515e82e17f,Alberto Montes,"5' 7""",145,69,Orthodox
1e6948a1cddd5294,Nyamjargal Tumendemberel,"5' 7""",125,71,Orthodox
284456a2771843a3,Sumudaerji,"5' 8""",125,72,Southpaw
31ff758863c6ad36,Jesus Aguilar,"5' 4""",125,62,Orthodox
5a7dee229b27e06c,Rafael Tobias,"6' 2""",205,74,Orthodox
c3fd5865a09e741a,Diyar Nurgozhay,"6' 2""",205,74,Southpaw
8b41d0ebea0c3e18,Luke Fernandez,--,205,--,Orthodox
157689fad4e22542,Rodolfo Bellato,"6' 3""",205,75,Orthodox
37ac5668fa9f42aa,Brandon Moreno,"5' 7""",125,70,Orthodox
10a96d52c89b5469,Lone'er Kavanagh,"5' 6""",125,67,Orthodox
8fef39098574c923,Marlon Vera,"5' 8""",135,70,Switch
f98cac378dcfb57b,David Martinez,"5' 5""",135,67,Orthodox
17dc8cabd91da5ae,Daniel Zellhuber,"6' 1""",155,77,Switch
60f31fb96a24723a,Edgar Chairez,"5' 7""",125,71,Orthodox
91786db82a1d5e55,Felipe Bunes,"5' 7""",125,69,Orthodox
1c33eb78bdc5df39,Imanol Rodriguez,--,125,--,Orthodox
c9689833e730c077,Kevin Borjas,"5' 5""",125,68,Orthodox
40a4d73f3a51ca65,Santiago Luna,"5' 9""",135,74,Orthodox
95d8b12e5a21ed5a,Angel Pacheco,"5' 8""",135,70,Orthodox
85a165c98f003923,Ryan Gandra,"6' 1""",185,74,Orthodox
d5208b261a548ced,Jose Daniel Medina,"6' 0""",185,74,Orthodox
e7adbb01bdaae78c,Ailin Perez,"5' 5""",135,66,Switch
882b8b96d9e44fdf,Macy Chiasson,"5' 11""",135,72,Orthodox
1fc339f153e788c3,Cristian Quinonez,"5' 8""",135,70,Orthodox
2dd667d6fae680e2,Kris Moutinho,"5' 7""",135,68,Southpaw
445643aa88ac4486,Douglas Silva de Andrade,"5' 7""",135,68,Orthodox
0dc9571266788e7c,Javier Reyes,"5' 7""",145,73,
eb6ce9814e356bfb,Regina Tarin,,,,
3c972c6d8123294c,Ernesta Kareckaite,"5' 9""",125,71,Orthodox
acee921186a58206,Erik Silva,"5' 9""",145,71,Orthodox
c212ca8a9b232259,Damian Pinas,"6' 1""",185,79,Orthodox
9583d6bf13318f23,Anthony Hernandez,"6' 0""",185,75,Orthodox
deee560a8bc1dd80,Geoff Neal,"5' 11""",170,75,Southpaw
84ded26cb00e17cf,Uros Medic,"6' 1""",170,71,Southpaw
217d1a9370550d41,Dan Ige,"5' 7""",145,71,Orthodox
e61d510091019852,Serghei Spivac,"6' 3""",260,78,Orthodox
8207b4d862044632,Ante Delija,"6' 3""",239,78,Orthodox
ef56a8f712d971ef,Jacobe Smith,"5' 10""",170,72,Southpaw
c95b1cac8dfd2ae0,Josiah Harrell,"5' 7""",170,68,Southpaw
3278a31624e0082e,Zach Reese,,,,
b2d0ed4e270b49dc,Michel Pereira,"6' 1""",185,73,Orthodox
b64bdbe0d3e4c9aa,Chidi Njokuani,"6' 3""",170,80,Orthodox
1ca9af9ac078f0ba,Carlos Leal,"5' 11""",170,74,Orthodox
cb862700e7767b56,Ode Osbourne,"5' 7""",125,73,Southpaw
831540ae441a2698,Alibi Idiris,"5' 6""",125,68,Orthodox
201260e3416bc322,Alden Coria,"5' 8""",125,67,Orthodox
89d577014f06908a,Nora Cornolle,"5' 7""",135,67,Orthodox
98199760e1c660be,Ramiz Brahimaj,"5' 10""",170,72,Orthodox
fd2553227e3641fe,Punahele Soriano,"5' 11""",170,72,Southpaw
9a1548c71a7398bf,Phil Rowe,"6' 3""",170,80,Orthodox
113a883d66bceed8,Jean-Paul Lebosnoyani,"5' 11""",170,72,Switch
12c6b847f7f28593,Jordan Leavitt,"5' 9""",155,71,Southpaw
47dfe6ac6c9121a0,Yadier del Valle,"5' 9""",145,69,Southpaw
2829dc258e48d9ed,Juliana Miller,"5' 7""",125,66,Orthodox
35fd53a02396b4af,Carli Judice,"5' 7""",125,68,Southpaw
fb2821134f28cffd,Mario Bautista,"5' 9""",135,69,Switch
aad8e24798f0a89f,Vinicius Oliveira,"5' 9""",135,70,Switch
693be865c2fb6f37,Amir Albazi,"5' 5""",125,68,Orthodox
c921a062105cb950,Kyoji Horiguchi,"5' 5""",125,66,Orthodox
c17b1fa1d28c1eea,Jailton Almeida,"6' 3""",205,79,Orthodox
16862aff18bed355,Rizvan Kuniev,"6' 4""",240,76,Orthodox
baf392e288389603,Michal Oleksiejczuk,"6' 0""",185,74,Southpaw
f9f4bfae4f5773bb,Marc-Andre Barriault,"6' 1""",185,74,Orthodox
99142b6b0a8bdbba,Jean Matsumoto,"5' 6""",135,68,Orthodox
6268180e745a1e23,Farid Basharat,"5' 8""",135,71,Orthodox
91199de65226ddd6,Dustin Jacoby,"6' 3""",205,76,Orthodox
98007087a1199703,Julius Walker,"6' 4""",205,78,Orthodox
958dfbfa3ae46b07,Alex Morono,"5' 11""",170,72,Orthodox
1dbb544d1b5ac196,Daniil Donchenko,"5' 11""",170,71,Orthodox
987a31b24ac333ea,Ketlen Souza,"5' 3""",115,63,Orthodox
7192b50e701bd23e,Javid Basharat,"5' 9""",135,69,Orthodox
17bd6cb0ff67ee5d,Gianni Vazquez,--,135,--,Orthodox
58cfe90363989b8f,Wang Cong,"5' 6""",125,66,Southpaw
f2a4a3932a91dc1e,Eduarda Moura,"5' 6""",125,67,Orthodox
a991252ad3712030,Muin Gafurov,"5' 7""",135,68,Orthodox
20c8eb11c1c160b9,Jakub Wiklacz,"5' 10""",135,72,Orthodox
fe5b6eb764fa7cf7,Klaudia Sygula,"5' 8""",135,69,Orthodox
29f2d5ce1eef7082,Priscila Cachoeira,"5' 7""",135,65,Orthodox
00ccd78f83230b09,Alexander Volkanovski,"5' 6""",145,71,Orthodox
bf14e890b46e0305,Diego Lopes,"5' 11""",145,72,Orthodox
fc949bd38e5955fc,Dan Hooker,"6' 0""",155,75,Switch
baf62b0c8795f506,Benoit Saint Denis,"5' 11""",155,73,Southpaw
4e08ff215f9a5fc0,Rafael Fiziev,"5' 8""",155,71,Switch
bd8ee82c2df0d588,Mauricio Ruffy,"5' 11""",155,75,Orthodox
395835d15985848e,Tallison Teixeira,"6' 7""",258,83,Orthodox
55e6fb53d99c550e,Jamie Mullarkey,"6' 0""",155,74,Orthodox
9bb21a6ce26860ff,Billy Elekana,"6' 3""",205,77,Southpaw
ac54fb7dcc875b59,Torrez Finney,"5' 8""",185,75,Orthodox
574a92a70255439d,Oban Elliott,"6' 0""",170,72,Orthodox
b62e595027ceacad,Kaan Ofli,"5' 7""",145,66,Orthodox
01d2ad4fbc27e632,Yizha,"5' 7""",145,71,Orthodox
5b412ce6464f1c11,Sangwook Kim,"6' 0""",155,71,Orthodox
9f4cf806ebcfa00e,Keiichiro Nakamura,"5' 10""",145,70,Southpaw
5e66096486783677,Sebastian Szalay,"5' 6""",145,66,Orthodox
f3faf6103e5498b1,Sulangrangbo,"5' 9""",135,66,Southpaw
4aef3ff31f0fbef5,Lawrence Lui,"5' 7""",135,72,Orthodox
4e68c7da6bcad57d,Shi Ming,"5' 2""",115,60,Orthodox
ffaccfcb6a96eda6,Terrance Saeteurn,"5' 6""",125,67,Orthodox
d5ebb51288f99cee,Justin Gaethje,"5' 11""",155,70,Orthodox
3495d04b5c109550,Paddy Pimblett,"5' 10""",155,73,Orthodox
bbcaf7b57144df14,Sean O'Malley,"5' 11""",135,72,Switch
6e8a5fe4993ba864,Song Yadong,"5' 8""",135,67,Orthodox
957522be7ec72223,Derrick Lewis,"6' 3""",260,79,Orthodox
a47925a4d8ea3a25,Natalia Silva,"5' 4""",125,65,Southpaw
41197a2ac800612c,Rose Namajunas,"5' 5""",125,65,Orthodox
fa859b94c8582c26,Jean Silva,"5' 7""",145,69,Orthodox
6f151471dd180d1e,Umar Nurmagomedov,"5' 8""",135,69,Orthodox
087d5e2b3912bfd6,Deiveson Figueiredo,"5' 5""",135,68,Orthodox
634eda97df9caa0e,Andrey Pulyaev,"6' 4""",185,78,Southpaw
9dd8a4f62f227cb4,Nikita Krylov,"6' 3""",205,77,Orthodox
