sherdogId,ourId,name,appearances,dwcsRecord,firstDwcsDate,bestDwcsResult,preDwcsWins,preDwcsLosses,preDwcsDraws,preDwcsSource,feederOrg,feederTier,feederRelFactor,ageAtDwcs,gotContract,ufcFights,ufcWins,ufcLosses,settledEloGain,eloAt1yr,eloAt2yr,reachedTop15
Joseph-Lowry-76336,,Joseph Lowry,2,0-2,2018-08-07,noWin,,,,none,,,,,0,0,0,0,,,,0
Tebaris-Gordon-260891,,Tebaris Gordon,1,0-1,2018-08-07,noWin,,,,none,,,,,0,0,0,0,,,,0
Antonio-Arroyo-173979,20184f36071fdaa3,Antonio Arroyo,2,2-0,2018-08-10,finishWin,7,2,0,crosswalk,LFA,tier3,1.0206,29,1,3,0,3,-10.8,,1482,0
Augusto-Sakai-87303,3e1f496aca017284,Augusto Sakai,1,1-0,2018-08-10,finishWin,10,1,1,crosswalk,Bellator,tier2_5,0.9929,27,1,9,5,4,-8,1518.9,1540,0
Diego-Henrique-da-Silva-76846,,Diego Henrique da Silva,1,0-1,2018-08-10,noWin,8,3,0,cache,,,,31,0,0,0,0,,,,0
Gustavo-Gabriel-Silva-127725,,Gustavo Gabriel Silva,1,0-1,2018-08-10,noWin,,,,none,,,,,0,0,0,0,,,,0
Maiara-Amanajas-dos-Santos-77091,,Maiara Amanajas dos Santos,1,0-1,2018-08-10,noWin,,,,none,,,,,0,0,0,0,,,,0
Marcos-Conrado-Jr-234165,,Marcos Conrado Jr.,1,0-1,2018-08-10,noWin,,,,none,,,,,0,0,0,0,,,,0
Rogerio-Bontorin-132211,1b2245155a92a358,Rogerio Bontorin,1,1-0,2018-08-10,finishWin,13,1,0,crosswalk,Brave CF,tier3,1.0338,26,1,5,2,3,-7.7,1510.5,1503.8,0
Sarah-Frota-222541,511b8a19e1b7ac9f,Sarah Frota,1,1-0,2018-08-10,finishWin,8,0,0,crosswalk,SFL,tier4,,31,1,2,0,2,-2.7,1466.3,1466.3,0
Allan-Nascimento-87857,5138742df3096e35,Allan Nascimento,1,0-1,2018-08-11,noWin,17,4,0,crosswalk,RIZIN,tier2_5,1.014,26,1,6,4,2,20.2,,,0
Andre-Muniz-81800,74fd8194bb19e2bf,Andre Muniz,2,2-0,2018-08-11,finishWin,16,4,0,crosswalk,WOCS,tier4,,28,1,10,6,4,-0.8,,1512.6,0
Bruno-Assis-185297,,Bruno Assis,1,0-1,2018-08-11,noWin,,,,none,,,,,0,0,0,0,,,,0
Estefani-Almeida-205515,,Estefani Almeida,1,0-1,2018-08-11,noWin,,,,none,,,,,0,0,0,0,,,,0
Henrique-da-Silva-175493,c9309ef7c0bb931b,Henrique da Silva,1,0-1,2018-08-11,noWin,12,0,0,crosswalk,Arena Fight,tier4,,28,0,0,0,0,-1.7,1451.9,1451.9,0
John-Allan-114875,b2d78c1271922be6,John Allan,1,0-1,2018-08-11,noWin,12,4,0,crosswalk,Imortal FC,tier4,,25,1,2,0,2,-6.5,,,0
Johnny-Walker-170203,,Johnny Walker,1,1-0,2018-08-11,decisionWin,13,3,0,cache,,,,26,0,0,0,0,,,,0
Luana-Carolina-189719,64d5a5e924312934,Luana Carolina,1,1-0,2018-08-11,decisionWin,4,1,0,crosswalk,Thunder Fight,tier4,,25,1,10,6,4,-10,1509.3,1485,0
Mabelly-Lima-187177,,Mabelly Lima,1,0-1,2018-08-11,noWin,,,,none,,,,,0,0,0,0,,,,0
Maria-Oliveira-207835,09efcf1044196013,Maria Oliveira,1,0-1,2018-08-11,noWin,10,3,0,crosswalk,RIZIN,tier2_5,1.014,21,1,4,1,3,-18.9,,,0
Marina-Rodriguez-193977,c42bb75b660872de,Marina Rodriguez,1,1-0,2018-08-11,finishWin,9,0,0,crosswalk,Shooto,tier3,0.9997,31,1,15,7,6,-9,1521.3,1505,0
Raulian-Paiva-167575,33936cc54a3063f8,Raulian Paiva,1,1-0,2018-08-11,decisionWin,17,1,0,crosswalk,SMF,tier4,,22,1,7,3,4,-4.9,1464.4,1490.9,0
Taila-Santos-143185,73dcdd41661adf51,Taila Santos,1,1-0,2018-08-11,decisionWin,14,0,0,crosswalk,AFC,tier4,0.9964,25,1,7,4,3,7.4,1483.6,1500.6,0
Vinicius-Moreira-207291,aa41f7f0d38a67de,Vinicius Moreira,1,1-0,2018-08-11,finishWin,8,1,0,crosswalk,SFL,tier4,,29,1,4,0,4,-11.8,1456.8,1436,0
Alton-Meeks-292547,,Alton Meeks,1,0-1,2019-06-18,noWin,,,,none,,,,,0,0,0,0,,,,0
Bill-Algeo-77441,fb02ddf6816c3234,Bill Algeo,1,0-1,2019-06-18,noWin,12,3,0,crosswalk,ROC,tier4,1.0281,30,1,10,5,5,-13.1,,1479.5,0
Brendan-Loughnane-44417,,Brendan Loughnane,1,1-0,2019-06-18,decisionWin,16,3,0,cache,,,,29,0,0,0,0,,,,0
Hannah-Goldy-204879,aef794c9754597d7,Hannah Goldy,1,1-0,2019-06-18,decisionWin,4,0,0,crosswalk,Square Ring Promotions,tier4,0.9744,27,1,5,1,4,-24.2,1482,1482,0
Kali-Robbins-178681,,Kali Robbins,1,0-1,2019-06-18,noWin,,,,none,,,,,0,0,0,0,,,,0
Punahele-Soriano-230239,fd2553227e3641fe,Punahele Soriano,1,1-0,2019-06-18,decisionWin,5,0,0,crosswalk,PFL,tier2_5,1.0241,26,1,11,7,4,10.1,1512.3,1527.5,0
Yorgan-De-Castro-176091,dea7ffef261a8d05,Yorgan De Castro,1,1-0,2019-06-18,finishWin,4,0,0,crosswalk,CES MMA,tier4,0.9367,32,1,4,1,3,-7.2,1495.6,1456.7,0
Kyle-Daukaus-83350,adc254e5ba385928,Kyle Daukaus,1,1-0,2019-06-25,decisionWin,6,0,0,crosswalk,CFFC,tier3,0.9667,26,1,9,4,5,-11.6,,1480.7,0
Michael-Lombardo-217745,,Michael Lombardo,1,0-1,2019-06-25,noWin,,,,none,,,,,0,0,0,0,,,,0
Miguel-Baeza-231403,0c3ba783cdf08931,Miguel Baeza,1,1-0,2019-06-25,decisionWin,6,0,0,crosswalk,Fight Time Promotions,tier4,,26,1,7,3,4,-14.8,1528.4,1523.8,0
Miles-Johns-172691,e011a97f57726d2d,Miles Johns,1,1-0,2019-06-25,decisionWin,8,0,0,crosswalk,LFA,tier3,1.0206,25,1,12,7,5,-9.7,1489.9,1505.9,0
Richie-Santiago-126329,,Richie Santiago,1,0-1,2019-06-25,noWin,,,,none,,,,,0,0,0,0,,,,0
Victor-Reyna-72745,,Victor Reyna,2,0-2,2019-06-25,noWin,,,,none,,,,,0,0,0,0,,,,0
Antonio-Trocoli-123109,64794ca3e674f4b1,Antonio Trocoli,1,0-0,2019-07-09,noWin,11,3,0,crosswalk,LFC,tier4,0.9819,28,1,4,0,4,-71.6,,,0
Chris-Ocon-194123,,Chris Ocon,1,0-1,2019-07-09,noWin,,,,none,,,,,0,0,0,0,,,,0
Hunter-Azure-251727,9494d3823806d705,Hunter Azure,1,1-0,2019-07-09,decisionWin,6,0,0,crosswalk,LFA,tier3,1.0206,27,1,4,2,2,-2.3,1489.1,1486.4,0
Jacob-Rosales-154819,,Jacob Rosales,2,0-2,2019-07-09,noWin,,,,none,,,,,0,0,0,0,,,,0
James-Wallace-55291,,James Wallace,1,0-1,2019-07-09,noWin,,,,none,,,,,0,0,0,0,,,,0
Joe-Solecki-227993,97b41815ee1fcfd0,Joe Solecki,1,1-0,2019-07-09,finishWin,7,2,0,crosswalk,CFFC,tier3,0.9667,25,1,9,5,4,-4.1,1511.4,1536.4,0
Jonathan-Pearce-183541,c62d07b2a13212ac,Jonathan Pearce,1,1-0,2019-07-09,finishWin,8,3,0,crosswalk,Bellator,tier2_5,0.9929,27,1,9,5,4,0.4,1477.2,1499.2,0
Kenneth-Bergh-189821,,Kenneth Bergh,1,0-0,2019-07-09,noWin,,,,none,,,,,0,0,0,0,,,,0
Maki-Pitolo-51049,8a0cb9e5ef6f57d0,Maki Pitolo,1,1-0,2019-07-09,finishWin,11,4,0,crosswalk,VFC,tier4,0.9864,28,1,6,1,5,-16.5,1495.5,1437.7,0
Aaron-Jeffery-127631,,Aaron Jeffery,2,0-2,2019-07-16,noWin,,,,none,,,,,0,0,0,0,,,,0
Armando-Villarreal-141205,,Armando Villarreal,1,0-1,2019-07-16,noWin,,,,none,,,,,0,0,0,0,,,,0
Brendan-Allen-201703,58b6dee880eed3f4,Brendan Allen,1,1-0,2019-07-16,finishWin,11,3,0,crosswalk,LFA,tier3,1.0206,23,1,19,15,4,103.9,1548.3,1538.3,1
Ode-Osbourne-137969,cb862700e7767b56,Ode Osbourne,1,1-0,2019-07-16,finishWin,7,2,0,crosswalk,Pure FC,tier4,,27,1,13,5,8,-59.5,1477.9,1493.5,0
Ricardo-Prasel-157509,,Ricardo Prasel,1,0-1,2019-07-16,noWin,,,,none,,,,,0,0,0,0,,,,0
Stephen-Regman-66763,,Stephen Regman,1,0-1,2019-07-16,noWin,,,,none,,,,,0,0,0,0,,,,0
Alexander-Poppeck-99051,,Alexander Poppeck,1,0-1,2019-07-23,noWin,,,,none,,,,,0,0,0,0,,,,0
Billy-Quarantillo-68076,15a5d250b43e99c3,Billy Quarantillo,1,1-0,2019-07-23,finishWin,11,2,0,crosswalk,King of the Cage,tier3,1.0041,30,1,12,6,6,-20.3,1529,1534.5,0
Jamahal-Hill-280417,fa92f349c2df714c,Jamahal Hill,1,1-0,2019-07-23,finishWin,5,0,0,crosswalk,KOP,tier4,,28,1,10,6,4,10.4,1509.5,1504.2,1
Kamuela-Kirk-162187,7a7707b49ee6909b,Kamuela Kirk,1,0-1,2019-07-23,noWin,9,2,0,crosswalk,LFA,tier3,1.0206,25,1,3,1,2,-11,,1514.8,0
Ramazan-Kuramagomedov-241397,,Ramazan Kuramagomedov,1,1-0,2019-07-23,decisionWin,,,,none,,,,,0,0,0,0,,,,0
Sean-Woodson-235563,a238e2e4c9670e90,Sean Woodson,1,1-0,2019-07-23,finishWin,5,0,0,crosswalk,Shamrock FC,tier4,,27,1,10,7,2,20.2,1483.4,1495.7,0
Terrance-McKinney-232591,d75d3c014f3a0d70,Terrance McKinney,1,0-1,2019-07-23,noWin,7,1,0,crosswalk,ExciteFight,tier4,,24,1,14,8,6,-17.3,,1513.6,0
