fmId,name,dwcsDate,pitRegionalElo,priorBouts,ageAtDwcs,reachedTop15
145146,Chris Ocon,2019-07-09,1578.7,4,23.4,0
125803,Jacob Rosales,2019-07-09,1579.4,15,23.9,0
140094,Jonathan Pearce,2019-07-09,1577.9,11,27.2,0
51547,Maki Pitolo,2019-07-09,1582.6,15,28.6,0
161598,Joe Solecki,2019-07-09,1569.5,9,25.9,0
56004,James Wallace,2019-07-09,1576.5,10,,0
148934,Brendan Allen,2019-07-16,1609.7,14,23.5,1
112202,Aaron Jeffery,2019-07-16,1569.0,7,26.7,0
117454,Ode Osbourne,2019-07-16,1559.7,9,27.5,0
118993,Armando Villarreal,2019-07-16,1562.9,6,29.9,0
68225,Stephen Regman,2019-07-16,1586.5,12,27.9,0
127676,Ricardo Prasel,2019-07-16,1615.7,11,29.1,0
168564,Ramazan Kuramagomedov,2019-07-23,1586.6,5,22.9,0
187069,Jamahal Hill,2019-07-23,1586.0,5,28.2,1
97505,Alexander Poppeck,2019-07-23,1598.4,11,27.3,0
165393,Sean Woodson,2019-07-23,1581.3,5,27.1,0
164240,Terrance McKinney,2019-07-23,1584.0,8,24.9,0
129731,Kamuela Kirk,2019-07-23,1580.6,10,25.3,0
69641,Billy Quarantillo,2019-07-23,1611.0,13,30.6,0
121383,Daniel Rodriguez,2019-07-30,1605.4,9,32.6,1
116382,Rico Farrington,2019-07-30,1560.4,9,30.1,0
97466,Aalon Cruz,2019-07-30,1567.9,9,29.9,0
108168,Steven Nguyen,2019-07-30,1590.6,6,26.2,0
153401,Mariya Agapova,2019-07-30,1596.4,6,22.3,0
128825,Tracy Cortez,2019-07-30,1565.2,6,25.6,1
162775,Fabio Cherant,2019-07-30,1568.0,4,24.7,0
162327,Aleksa Camur,2019-07-30,1573.4,4,23.8,0
94733,Rodrigo Nascimento,2019-07-30,1591.5,6,26.7,0
177653,Michal Martinek,2019-07-30,1602.2,7,29.3,0
95548,Jay Perrin,2019-08-06,1560.5,11,26.1,0
98810,Dwight Joseph,2019-08-06,1587.4,10,30.0,0
163834,Taylor Johnson,2019-08-06,1587.9,5,28.7,0
74252,Harvey Park,2019-08-06,1622.7,14,33.4,0
107961,Omar Morales,2019-08-06,1602.9,7,33.8,0
124408,Herbert Burns,2019-08-06,1594.2,10,31.5,0
91920,Darrick Minner,2019-08-06,1611.1,31,29.3,0
153141,Tony Gravely,2019-08-13,1649.3,23,27.9,0
80189,Ray Rodriguez,2019-08-13,1606.7,20,,0
188024,William Knight,2019-08-13,1575.2,4,31.4,0
138847,Herdem Alacabek,2019-08-13,1587.8,5,28.2,0
54489,Brok Weaver,2019-08-13,1607.8,17,,0
160044,Devin Smyth,2019-08-13,1595.4,10,24.1,0
84579,Sarah Alpar,2019-08-13,1558.5,12,28.2,0
111488,Shanna Young,2019-08-13,1581.3,7,28.5,0
53335,Steve Garcia,2019-08-20,1594.4,12,,1
173204,Desmond Torres,2019-08-20,1582.7,8,22.6,0
124780,Jamal Pogues,2019-08-20,1564.0,8,23.7,0
176019,Marcos Brigagao,2019-08-20,1632.2,11,23.4,0
134224,Micol DiSegni,2019-08-20,1566.6,9,31.6,0
148469,Mallory Martin,2019-08-20,1528.8,6,25.6,0
127943,Leon Shahbazyan,2019-08-20,1579.4,8,23.8,0
202248,Impa Kasanganay,2019-08-27,1584.4,5,25.6,0
163873,Kailan Hill,2019-08-27,1582.5,4,24.7,0
151824,Dusko Todorovic,2019-08-27,1609.0,8,25.3,0
96396,Teddy Ash,2019-08-27,1619.2,18,29.7,0
81152,Peter Barrett,2019-08-27,1569.7,13,33.0,0
178043,Sang Hoon Yoo,2019-08-27,1586.8,5,,0
216474,Luis Gomez,2017-07-25,1500.0,0,,0
142997,Kenneth Bergh,2019-07-09,1594.3,6,30.0,0
81208,Jordan Wright,2018-06-19,1613.8,9,26.7,0
111133,Ben Sosoli,2019-08-27,1564.2,9,29.7,0
142966,Luana Carolina,2018-08-11,1483.0,1,,0
183725,Uros Medic,2020-08-04,1587.0,5,27.3,1
150591,Mikey Gonzalez,2020-08-04,1559.8,7,35.0,0
117867,Jerome Rivera,2020-08-04,1594.2,11,25.3,0
180534,Ronaldo Rodriguez,2020-08-04,1626.4,12,21.2,0
176447,Jordan Leavitt,2020-08-04,1594.8,6,25.2,0
75586,Dustin Jacoby,2020-08-04,1581.3,16,32.3,0
88418,Ty Flores,2020-08-04,1561.2,9,26.6,0
167228,Joe Pyfer,2020-08-11,1583.2,8,,1
102618,Dustin Stoltzfus,2020-08-11,1620.8,13,28.7,0
121015,Anthony Adams,2020-08-11,1603.9,9,32.6,0
142463,T.J. Laramie,2020-08-11,1598.8,14,22.8,0
74720,Daniel Swain,2020-08-11,1603.8,30,29.5,0
88422,Adrian Yanez,2020-08-11,1589.4,13,26.7,0
118837,Brady Huang,2020-08-11,1617.0,12,27.7,0
137505,Cory McKenna,2020-08-11,1554.0,5,21.1,0
105062,Vanessa Demopoulos,2020-08-11,1564.9,6,31.9,0
152173,Hilarie Rose,2020-08-18,1545.4,5,27.8,0
124454,Cheyanne Vlismas,2020-08-18,1551.1,5,,0
188038,Louis Cosce,2020-08-18,1584.7,6,25.0,0
156139,Chad Johnson,2020-08-18,1580.6,7,34.1,0
169275,Mike Breeden,2020-08-25,1589.5,10,31.3,0
158356,Anthony Romero,2020-08-25,1609.7,7,23.5,0
126053,Alejandro Flores,2020-08-25,1682.2,20,29.1,0
93985,Rafael Alves,2020-08-25,1598.1,27,,0
82778,Jacob Silva,2020-08-25,1556.5,8,32.5,0
156875,Jeff Molina,2020-08-25,1558.9,9,23.1,0
110621,Jhonoven Pati,2020-08-25,1553.3,9,30.3,0
167032,Jose Johnson,2020-09-01,1580.8,17,25.3,0
97075,Ronnie Lawrence,2020-09-01,1561.5,6,28.2,0
190266,Dennis Buzukja,2020-09-01,1546.0,5,22.9,0
132893,Melsik Baghdasaryan,2020-09-01,1547.2,5,28.6,0
187952,Cody Brundage,2020-09-01,1580.5,5,26.3,0
138692,Chase Gibson,2020-09-01,1548.4,13,30.6,0
108890,Tucker Lutz,2020-09-01,1599.3,10,26.1,0
61677,Jimmy Flick,2020-09-01,1612.9,19,30.0,0
130770,Nate Smith,2020-09-01,1591.2,6,,0
149667,Drako Rodriguez,2020-09-08,1588.3,8,24.2,0
131160,Khadzhimurat Bestaev,2020-09-08,1584.8,13,,0
153565,Al Matavao,2020-09-08,1590.1,11,26.5,0
187681,Tafon Nchukwi,2020-09-08,1563.2,3,25.9,0
152718,Aliaskhab Khizriev,2020-09-08,1651.3,13,30.0,0
76040,Henrique Shiguemoto,2020-09-08,1614.3,17,,0
136842,Gregory Rodrigues,2020-09-15,1562.9,9,28.6,1
187070,Collin Anglin,2020-09-15,1578.2,8,27.6,0
94874,Dustin Joynson,2019-08-27,1581.8,5,33.9,0
160434,Ignacio Bahamondes,2020-11-04,1595.2,14,23.2,0
127942,Edson Gomez,2020-11-04,1561.6,7,29.7,0
79423,Luis Saldana,2020-11-04,1579.8,19,29.8,0
106636,Vince Murdock,2020-11-04,1565.4,16,29.6,0
124784,Jared Vanderaa,2020-11-04,1578.7,14,28.5,0
167407,Harry Hunsucker,2020-11-04,1544.0,8,31.8,0
166499,Luana Pinheiro,2020-11-10,1578.4,8,28.0,0
62309,Stephanie Frausto,2020-11-10,1527.5,14,30.1,0
99626,Nikolas Motta,2020-11-10,1596.4,14,27.8,0
161297,Shaheen Santana,2020-11-10,1597.9,6,29.4,0
161277,Natan Levy,2020-11-10,1583.9,5,29.1,0
163130,Pauline Macias,2020-11-17,1572.4,4,32.4,0
163303,Gloria de Paula,2020-11-17,1535.7,6,25.4,0
154315,Victoria Leonardo,2020-11-17,1573.2,9,30.8,0
206288,Chelsea Hackett,2020-11-17,1556.6,4,22.3,0
98358,Oscar Cota,2020-11-17,1596.9,13,36.1,0
198424,Nick Maximov,2020-11-17,1578.2,5,22.9,0
147678,Sherrard Blackledge,2020-11-17,1586.7,5,27.3,0
266108,Marina Rodriguez,2018-08-11,1500.0,0,31.3,0
109169,Antonio Trocoli,2019-07-09,1599.0,14,28.6,0
102023,Diego Lopes,2021-08-31,1670.7,22,26.7,1
138765,Joanderson Brito,2021-08-31,1611.9,14,26.6,0
153965,Victor Altamirano,2021-08-31,1618.6,10,30.6,0
189457,A.J. Fletcher,2021-08-31,1597.0,8,24.5,0
167639,Leonardo Damiani,2021-08-31,1597.6,13,31.0,0
73574,C.J. Vergara,2021-09-07,1578.8,11,30.2,0
58274,Bruno Mesquita,2021-09-07,1622.0,16,30.2,0
126845,Saimon Oliveira,2021-09-07,1643.4,20,30.4,0
128790,Jose Alday,2021-09-07,1600.7,19,30.0,0
139399,Muin Gafurov,2021-09-07,1645.5,20,25.3,0
64658,Chad Anheliger,2021-09-07,1564.3,15,34.8,0
5945,Chidi Njokuani,2021-09-07,1625.0,26,32.7,0
151951,Jack Della Maddalena,2021-09-14,1584.5,11,25.0,0
93588,Ange Loosa,2021-09-14,1587.0,8,28.5,0
103055,Jailton Almeida,2021-09-14,1628.0,15,30.2,0
126605,Nasrudin Nasrudinov,2021-09-14,1623.7,9,29.9,0
88917,Albert Duraev,2021-09-14,1619.2,16,32.7,0
80589,Caio Bittencourt,2021-09-14,1573.1,20,,0
181445,Michael Morales,2021-09-21,1631.6,11,22.2,1
141461,Nikolay Veretennikov,2021-09-21,1566.1,12,31.7,0
162470,Kleydson Rodrigues,2021-09-21,1578.4,8,25.9,0
180643,Santo Curatolo,2021-09-21,1586.7,7,26.7,0
88997,Victor Martinez,2021-09-21,1595.4,16,,0
76490,Hashem Arkhagha,2021-09-21,1596.3,6,32.0,0
106614,A.J. Dobson,2021-09-21,1585.5,5,29.7,0
176590,Theo Rlayang,2021-09-21,1574.0,5,27.1,0
143694,Lucas Almeida,2021-09-28,1646.4,12,,0
167076,Daniel Zellhuber,2021-09-28,1641.0,11,22.2,0
142194,Caio Borralho,2021-09-28,1587.1,9,28.7,1
88373,Rizvan Kuniev,2021-09-28,1580.3,12,29.6,1
169549,Edivan Mineiro Santos,2021-09-28,1591.2,14,,0
142435,Ihor Potieria,2021-09-28,1679.9,24,25.3,0
110717,Lukasz Sudolski,2021-09-28,1604.3,8,,0
115258,Daniel Barez,2021-10-05,1606.6,16,32.8,0
134216,Carlos Hernandez,2021-10-05,1573.9,7,27.9,0
190065,Joseph Holmes,2021-10-05,1560.1,6,26.3,0
177431,Shonte Barnes,2021-10-05,1548.2,8,34.7,0
160989,Genaro Valdez,2021-10-05,1619.6,9,29.7,0
158737,Patrik White,2021-10-05,1603.2,10,28.3,0
101804,Fernie Garcia,2021-10-05,1600.6,10,29.5,0
176378,Joshua Weems,2021-10-05,1596.2,10,27.4,0
186263,Mitch Raposo,2021-10-12,1576.7,5,23.0,0
148618,Jake Hadley,2021-10-12,1605.7,7,25.2,0
107803,Reyes Cortez Jr.,2021-10-12,1553.8,6,29.2,0
198556,Christian Rodriguez,2021-10-12,1586.1,5,,0
76108,Chris Duncan,2021-10-12,1604.6,7,28.4,0
214356,Viacheslav Borshchev,2021-10-12,1550.0,5,29.8,0
130715,Martin Buday,2021-10-12,1586.0,9,29.9,0
51715,Lorenzo Hood,2021-10-12,1587.0,16,32.6,0
128962,Jesse Murray,2021-10-19,1566.7,11,28.7,0
131164,James Barnes,2021-10-19,1612.2,18,39.4,0
123308,Pedro Falcao,2021-10-19,1627.8,17,29.2,0
163159,Kaloyan Kolev,2021-10-19,1624.9,10,29.0,0
198468,Armen Petrosyan,2021-10-19,1568.5,6,31.0,0
160358,Solomon Renfro,2021-10-19,1602.7,9,24.7,0
67413,Jonny Parsons,2021-10-19,1563.4,10,30.1,0
171002,Piera Rodriguez,2021-10-19,1596.1,6,28.9,0
155509,Valesca Machado,2021-10-19,1568.0,10,25.5,0
151843,Maria Oliveira,2018-08-11,1541.5,4,21.7,0
159068,Javid Basharat,2021-10-26,1621.5,10,26.1,0
92125,Oron Kahlon,2021-10-26,1643.3,12,37.0,0
130864,Cristian Quinonez,2021-10-26,1649.0,19,25.5,0
164316,Long Xiao,2021-10-26,1638.3,29,,0
121131,Gadzhi Omargadzhiev,2021-10-26,1645.5,12,28.7,0
121055,Jansey Silva,2021-10-26,1580.2,8,26.4,0
195809,Manuel Torres,2021-10-26,1616.2,13,,1
82781,Kolton Englund,2021-10-26,1583.0,12,28.3,0
194822,Yohan Lainesse,2021-11-02,1611.2,7,29.2,0
128395,Justin Burlinson,2021-11-02,1597.5,6,24.5,0
70138,Achilles Estremadura,2021-11-02,1598.9,7,29.6,0
141805,Mabelly Lima,2018-08-11,1544.5,2,24.5,0
66276,Joey Gomez,2018-07-10,1570.0,8,,0
189372,Rafael Alves,2020-08-25,1500.0,0,,0
155429,Henrique da Silva,2018-08-11,1500.0,0,,0
161140,Lucas Almeida,2021-09-28,1579.1,7,,0
132699,Luis Gomez,2017-07-25,1480.0,1,,0
173020,Andres Luna Martinetti,2022-07-26,1646.8,12,,0
155102,Alessandro Costa,2022-07-26,1607.4,12,26.5,0
126810,Osman Diaz,2022-07-26,1583.6,8,,0
165019,Anton Turkalj,2022-07-26,1607.1,7,26.1,0
112054,Acacio dos Santos,2022-07-26,1603.0,18,30.8,0
67189,Shannon Ross,2022-08-02,1579.9,17,,0
137930,Vinicius Salvador,2022-08-02,1612.3,17,26.0,0
190271,Charlie Campbell,2022-08-02,1576.3,7,27.1,0
174331,Shimon Smotritsky,2022-08-02,1605.3,9,21.9,0
86840,Connor Matthews,2022-08-02,1564.1,5,30.2,0
188241,Francis Marshall,2022-08-02,1580.4,5,23.4,0
152361,Dylan Potter,2021-09-14,1568.0,15,26.7,0
169660,Edgar Chairez,2022-08-09,1581.4,11,26.5,1
152926,Clayton Carpenter,2022-08-09,1584.1,5,26.2,0
247572,Bo Nickal,2022-08-09,1520.0,1,26.6,1
238740,Zachary Borrego,2022-08-09,1571.3,4,26.1,0
126176,Paulo Renato Jr.,2022-08-09,1594.9,10,28.5,0
157693,Erik Silva,2022-08-09,1598.1,9,35.4,0
237600,Anvar Boynazarov,2022-08-09,1565.6,4,33.6,0
192450,Josh Quinlan,2021-09-07,1587.0,5,28.6,0
114367,Lukasz Brzeski,2021-09-14,1581.0,10,29.3,0
129655,Jack Cartwright,2022-08-16,1637.0,10,28.2,0
178943,Nazim Sadykhov,2022-08-16,1575.5,7,28.3,0
188959,Ahmad Sohail Hassanzada,2022-08-16,1596.9,9,,0
172025,Claudio Ribeiro,2022-08-16,1591.2,11,30.1,0
198721,Ivan Valenzuela,2022-08-16,1584.0,9,29.7,0
182944,Hailey Cowan,2022-08-16,1555.6,8,30.5,0
