sherdogId,name,beatUFCBound,lostToUFCBound,topMultiplier,lastDate,notableWins
Enrique-Gonzalez-235161,Enrique Gonzalez,1,2,0.35,2021-11-12,beat Jim Alers (2021-11-12)
Sinead-Kavanagh-162541,Sinead Kavanagh,1,2,0.68,2021-11-12,beat Zarah Fairn (2016-02-27)
Akira-Haraguchi-337251,Akira Haraguchi,1,0,0.35,2021-11-06,beat Caol Uno (2021-11-06)
James-Gallagher-77588,James Gallagher,1,1,0.68,2021-11-05,beat Roman Salazar (2019-09-27)
Mark-Martin-308113,Mark Martin,1,0,0.35,2021-10-29,beat Erick Montano (2021-10-29)
Tyler-Ray-83941,Tyler Ray,1,0,0.35,2021-10-23,beat John Howard (2021-10-23)
James-Gonzalez-218955,James Gonzalez,1,3,0.35,2021-10-22,beat Lerryan Douglas (2021-10-22)
James-Barnes-164811,James Barnes,1,1,0.78,2021-10-19,beat Albert Morales (2018-11-24)
Nate-Richardson-83724,Nate Richardson,1,1,0.55,2021-10-17,beat Diego Lopes (2021-10-17)
Nathan-Kelly-217007,Nathan Kelly,1,0,0.35,2021-10-09,beat Shem Rock (2021-10-09)
Leonardo-Rodriguez-91785,Leonardo Rodriguez,1,0,0.35,2021-10-08,beat Marcos Mariano (2021-10-08)
Aleksi-Mantykivi-84240,Aleksi Mantykivi,1,2,0.35,2021-10-02,beat Kaynan Kruschewsky (2019-04-27)
Vitold-Jagelo-251859,Vitold Jagelo,1,0,0.35,2021-10-02,beat Zygimantas Ramaska (2021-10-02)
Johnathan-Ivey-2100,Johnathan Ivey,1,17,0.35,2021-10-01,beat Harry Moskowitz (2003-04-26)
Lee-Mein-6648,Lee Mein,1,8,0.68,2021-10-01,beat Ron Faircloth (2011-05-28)
Dominique-Wooding-154945,Dominique Wooding,1,0,0.35,2021-09-30,beat Nathan Fletcher (2021-09-30)
Blaine-ODriscoll-75570,Blaine O'Driscoll,1,3,0.68,2021-09-25,beat Harry Hardwick (2017-07-07)
Andrei-Caraus-387382,Andrei Caraus,1,0,0.35,2021-09-25,beat Bogdan Grad (2021-09-25)
Zdenek-Polivka-231037,Zdenek Polivka,1,0,0.35,2021-09-25,beat Eric Spicely (2021-09-25)
Marcelo-Tenorio-90635,Marcelo Tenorio,1,2,0.35,2021-09-19,beat Askar Mozharov (2016-06-04)
Andrew-Whitney-58084,Andrew Whitney,1,6,0.55,2021-09-17,beat Anderson Dos Santos (2016-08-05)
Nasrudin-Nasrudinov-156463,Nasrudin Nasrudinov,1,1,0.78,2021-09-14,beat Cory Hendricks (2020-03-06)
Kenta-Takagi-36173,Kenta Takagi,1,4,0.55,2021-09-12,beat Takashi Sato (2015-08-09)
Rafal-Haratyk-65806,Rafal Haratyk,1,2,0.35,2021-09-11,beat Azamat Bekoev (2021-09-11)
Mikael-Silander-70788,Mikael Silander,1,3,0.35,2021-09-11,beat Shunichi Shimizu (2017-02-18)
Ben-Brewer-85568,Ben Brewer,1,1,0.35,2021-09-11,beat Thomas Gifford (2014-01-18)
Artur-Sowinski-24106,Artur Sowinski,1,4,0.55,2021-09-11,beat Anton Kuivanen (2021-09-11)
Evgeniy-Goncharov-156033,Evgeniy Goncharov,1,0,0.35,2021-09-11,beat Daniel Omielanczuk (2021-09-11)
Jose-Alday-146733,Jose Alday,1,3,0.78,2021-09-07,beat Gustavo Lopez (2018-09-14)
Cody-Freeman-204411,Cody Freeman,1,2,0.55,2021-09-05,beat Fernie Garcia (2019-03-22)
Vladimir-Daineko-186933,Vladimir Daineko,1,2,0.35,2021-09-04,beat Anthony Hamilton (2021-09-04)
Jimmy-Vienot-391216,Jimmy Vienot,1,0,0.35,2021-09-04,beat Daniil Donchenko (2021-09-04)
Antun-Racic-45832,Antun Racic,1,1,0.55,2021-09-04,beat Damian Stasiak (2019-11-09)
Alejandro-Flores-155325,Alejandro Flores,1,1,0.78,2021-08-27,beat Carl Deaton (2021-08-27)
Rex-Harris-83264,Rex Harris,1,3,0.68,2021-08-21,beat Chris Dempsey (2021-08-21)
Micah-Terrill-98767,Micah Terrill,1,4,0.68,2021-08-13,beat Estevan Payan (2021-03-20)
Devon-Brock-259537,Devon Brock,1,1,0.35,2021-08-07,beat Chris Padilla (2021-08-07)
Takaya-Takemoto-124043,Takaya Takemoto,1,1,0.35,2021-08-07,beat Shunichi Shimizu (2021-02-07)
Matt-Kovacs-27479,Matt Kovacs,1,8,0.35,2021-07-31,beat Maurice Smith (2013-11-02)
Carlos-Silva-146307,Carlos Silva,1,0,0.35,2021-07-31,beat Adriano Martins (2021-07-31)
Said-Sowma-277889,Said Sowma,1,1,0.68,2021-07-16,beat Ronny Markes (2021-07-16)
Luan-Andre-Souza-Sardinha-205521,Luan Andre Souza Sardinha,1,0,0.55,2021-07-16,beat Kaue Fernandes (2021-07-16)
Brendo-Bispo-114873,Brendo Bispo,1,1,0.35,2021-07-15,beat Marcos Mariano (2015-09-26)
Jacqueline-Cavalcanti-293351,Jacqueline Cavalcanti,1,0,0.35,2021-07-10,beat Nora Cornolle (2021-07-10)
Ali-Zebian-146161,Ali Zebian,1,1,0.55,2021-07-10,beat Peter Barrett (2021-07-10)
Takashi-Matsuoka-50637,Takashi Matsuoka,1,0,0.55,2021-06-27,beat Yusuke Kasuya (2021-06-27)
Jamelle-Jones-137613,Jamelle Jones,1,2,0.78,2021-06-25,beat Klidson Abreu (2021-06-25)
Cody-Huard-67433,Cody Huard,1,2,0.35,2021-06-20,beat Frankie Saenz (2011-11-05)
Rasul-Tezekbayev-207667,Rasul Tezekbayev,1,0,0.35,2021-06-19,beat Jumabieke Tuerxun (2021-06-19)
Cliff-Wright-40852,Cliff Wright,1,9,0.35,2021-06-18,beat Thomas Gifford (2020-02-29)
Quentin-Domingos-276653,Quentin Domingos,1,0,0.35,2021-06-13,beat Antonio Silva (2021-06-13)
Gil-Guardado-51218,Gil Guardado,1,2,0.68,2021-06-09,beat Giga Chikadze (2015-12-18)
Ryan-Leininger-247297,Ryan Leininger,1,1,0.55,2021-06-04,beat Darrius Flowers (2021-06-04)
Manny-Vazquez-160015,Manny Vazquez,1,3,0.78,2021-05-29,beat Ricardo Ramos (2016-02-05)
Jose-Luis-Verdugo-169425,Jose Luis Verdugo,1,4,0.55,2021-05-28,beat Estevan Payan (2016-11-26)
Claire-Guthrie-235619,Claire Guthrie,1,0,0.68,2021-05-21,beat Juliana Miller (2021-05-21)
Carlos-Jimenez-59283,Carlos Jimenez,1,0,0.35,2021-05-16,beat Cameron Smotherman (2021-05-16)
Taison-Naito-154637,Taison Naito,1,0,0.55,2021-05-16,beat Caol Uno (2021-05-16)
Daniel-Swain-73000,Daniel Swain,1,4,0.78,2021-05-14,beat Sam Sicilia (2011-06-10)
Riley-Dutro-42022,Riley Dutro,1,3,0.78,2021-05-08,beat Darren Uyenoyama (2016-11-18)
Jaime-Alvarez-139887,Jaime Alvarez,1,1,0.78,2021-05-07,beat Martin Day (2017-08-15)
Jose-Augusto-111573,Jose Augusto,1,1,0.68,2021-05-07,beat Jonathan Wilson (2021-04-02)
Brandon-Sayles-67806,Brandon Sayles,1,1,0.68,2021-05-06,beat Mohammed Usman (2021-05-06)
Sergey-Guzev-53090,Sergey Guzev,1,2,0.35,2021-04-30,beat Wagner Silva (2018-06-16)
Antonio-Carlos-Jr-143157,Antonio Carlos Jr.,1,0,0.68,2021-04-29,beat Tom Lawlor (2021-04-29)
Rae-Yoon-Ok-135881,Rae Yoon Ok,1,1,0.68,2021-04-28,beat Eddie Alvarez (2021-04-28)
Chris-Honeycutt-124263,Chris Honeycutt,1,2,0.68,2021-04-23,beat Kevin Casey (2017-08-25)
Nolan-Norwood-57625,Nolan Norwood,1,3,0.55,2021-04-23,beat Kyle Bradley (2016-01-09)
Anthony-Dizy-96117,Anthony Dizy,1,1,0.68,2021-04-23,beat Colin Fletcher (2017-12-15)
Adonilton-Matos-120361,Adonilton Matos,1,3,0.35,2021-04-10,beat Wilson Reis (2021-04-10)
Seiji-Akao-23728,Seiji Akao,1,1,0.55,2021-04-04,beat Shunichi Shimizu (2021-04-04)
Maciej-Gierszewski-142551,Maciej Gierszewski,1,1,0.55,2021-04-01,beat Felipe Silva (2021-04-01)
Velimurad-Alkhasov-182115,Velimurad Alkhasov,1,1,0.55,2021-04-01,beat Zach Makovsky (2021-04-01)
Justin-Montalvo-274047,Justin Montalvo,1,0,0.35,2021-03-27,beat Charles Radtke (2021-03-27)
Michal-Wlodarek-53383,Michal Wlodarek,1,2,0.55,2021-03-20,beat Daniel Omielanczuk (2011-06-10)
Jesse-Medina-147275,Jesse Medina,1,2,0.35,2021-03-19,beat Jack Jenkins (2017-09-01)
Ian-Garry-268923,Ian Garry,1,0,0.35,2021-03-19,beat Rostem Akman (2021-03-19)
Anthony-Retic-59105,Anthony Retic,1,4,0.55,2021-03-13,beat Khama Worthy (2016-07-23)
Ryskulbek-Ibraimov-166373,Ryskulbek Ibraimov,1,0,0.55,2021-03-11,beat Jenel Lausa (2021-03-11)
Gota-Yamashita-62831,Gota Yamashita,1,1,0.55,2021-02-21,beat Yuki Kondo (2014-12-06)
Nate-Smith-164585,Nate Smith,1,2,0.78,2021-02-19,beat Jeff Molina (2017-09-29)
Abdalla-Biayda-310035,Abdalla Biayda,1,0,0.35,2021-02-13,beat Sebastian Szalay (2021-02-13)
Kazuma-Sone-41120,Kazuma Sone,1,2,0.68,2021-01-31,beat Teruto Ishihara (2021-01-31)
Kyle-Noblitt-197811,Kyle Noblitt,1,1,0.35,2021-01-30,beat Jack May (2021-01-30)
Bruno-Oliveira-87843,Bruno Oliveira,1,1,0.55,2021-01-29,beat Jared Gooden (2019-06-28)
Sultan-Zholdoshbek-271957,Sultan Zholdoshbek,1,1,0.35,2021-01-15,beat Bekzat Almakhan (2020-10-25)
Khalid-Satuev-272657,Khalid Satuev,1,0,0.35,2020-12-19,beat Myktybek Orolbai (2020-12-19)
Heinrich-Caceres-209395,Heinrich Caceres,1,0,0.35,2020-12-19,beat Edimilson Souza (2020-12-19)
Dmitry-Poberezhets-53091,Dmitry Poberezhets,1,0,0.35,2020-12-13,beat Ruslan Magomedov (2020-12-13)
Geanfranco-Cortez-291425,Geanfranco Cortez,1,2,0.35,2020-12-10,beat James Llontop (2018-12-22)
Juan-Diaz-283661,Juan Diaz,1,0,0.35,2020-12-10,beat Carlos Huachin (2020-12-10)
Will-Starks-201779,Will Starks,1,0,0.55,2020-12-04,beat Viacheslav Borshchev (2020-12-04)
Dan-Collins-152043,Dan  Collins,1,0,0.35,2020-11-27,beat Mohammad Yahya (2020-11-27)
