organisation,tier,tierMultiplier,needsReview,fightCount,sampleEvent
WWFC,tier4,0.35,true,49,WWFC 13 - Kyiv
PF,tier4,0.35,true,49,PF - Piemont Fight 2
CFA,tier4,0.35,true,49,CFA 11 - Kyle vs. Wiuff
IHC,tier4,0.35,true,49,IHC 9 - Purgatory
Ares,tier4,0.35,true,48,Ares 25 - Sola vs. Gagloev
One FC,tier2_5,0.68,false,48,One FC 24 - Dynasty of Champions
UCE,tier4,0.35,true,48,UCE - Round 28 - Worlds Collide
CG,tier4,0.35,true,47,CG 31 - Celtic Gladiator 31
Ringside MMA,tier4,0.35,true,47,Ringside MMA 13 - The Saint Patrick's Day Beatdown
ECC,tier4,0.35,true,47,ECC - Eco Combat Championship 20
AMMA,tier4,0.35,true,47,AMMA 2 - Adrenaline MMA 2
Eternal MMA,tier4,0.35,true,46,Eternal MMA 51 - Perth
Combate Global,tier4,0.35,true,46,Combate Global - Graniel vs. Ibarra
Euphoria,tier4,0.35,true,46,Euphoria - USA vs. World
2H2H,tier4,0.35,true,46,2H2H - 2 Hot 2 Handle
UW,tier4,0.35,true,46,UW - Minnesota
Tuff-N-Uff,tier4,0.35,true,45,Tuff-N-Uff - Tuff-N-Uff 151
AF,tier4,0.35,true,45,AF - Action Fight 16
SBC,tier4,0.35,true,45,SBC 19 - Serbian Battle Championship 19
Unified MMA,tier4,0.35,true,45,Unified MMA 43 - Unified MMA
Shamrock FC,tier4,0.35,true,44,Shamrock FC - Shamrock 313
SFS,tier4,0.35,true,44,SFS 6 - Score Fighting Series 6
EF,tier4,0.35,true,44,EF - ExciteFight
Thunder Fight,tier4,0.35,true,43,Thunder Fight 34 - Copa Thunder Fight 17
M-1 Global,tier3,0.55,false,41,M-1 Global - M-1 Challenge 47
100% Fight,tier4,0.35,true,41,100% Fight 41 - The Champ is Back
Reality Fighting,tier4,0.35,true,41,Reality Fighting - Mohegan Sun
GMC,tier4,0.35,true,41,GMC 5 - German MMA Championship 5
EB,tier4,0.35,true,41,EB - Beatdown at 4 Bears 12
BAMMA USA,tier4,0.35,true,41,BAMMA USA - Badbeat 10
UFCF,tier1,1,false,41,UFCF - Night of Champions
Xplode Fight Series,tier4,0.35,true,40,Xplode Fight Series - Taco
DFC,tier4,0.35,true,40,DFC 5 - Desert Force 5
Legend FC,tier4,0.35,true,40,Legend FC - Legend Fighting Championship 9
CXF,tier4,0.35,true,40,CXF 8 - Cali Kings
Spirit MC,tier4,0.35,true,40,Spirit MC 17 - All In
IVC,tier4,0.35,true,40,IVC 13 - The New Generation of Lightweights
MMAX,tier4,0.35,true,39,MMAX - Maximum Cage Fighting
STFC,tier4,0.35,true,39,STFC 24 - Bad Blood
Meca,tier4,0.35,true,39,Meca 12 - Meca World Vale Tudo 12
XKK,tier4,0.35,true,39,XKK - Des Moines
Fight Time,tier4,0.35,true,38,Fight Time 23 - Mayhem In Miami
SHC,tier4,0.35,true,38,SHC - Striker's House Cup 27
NAFC,tier4,0.35,true,38,NAFC - Super Brawl
Inka,tier4,0.35,true,38,Inka 24 - Inka Fighting Championship 24
WBFN,tier4,0.35,true,38,WBFN - Wild Bill's Fight Night 51
WFA,tier4,0.35,true,38,WFA 4 - King of the Streets
BRI,tier4,0.35,true,38,BRI 4 - Bas Rutten Invitational 4
USWF,tier4,0.35,true,38,USWF 18 - Unified Shoot Wrestling Federation 18
GKO,tier4,0.35,true,37,GKO 11 - Global Knockout 11
X-1,tier4,0.35,true,37,X-1 - Temple of Boom 4
ShoXC,tier4,0.35,true,37,ShoXC - Elite Challenger Series
Rings USA,tier4,0.35,true,37,Rings USA - Battle of Champions
Gladiators,tier4,0.35,true,37,Gladiators 20 - Gladiators 20
KOK,tier4,0.35,true,36,KOK - World Series in Kaunas
300 Sparta,tier4,0.35,true,36,300 Sparta 1 - MMA
REF,tier4,0.35,true,36,REF - Renegades Extreme Fighting
SFL,tier4,0.35,true,35,SFL 37 / CageSport 34 - SFL America 3
GCF,tier4,0.35,true,35,GCF - Gladiator Combat Fight 2
XFN,tier4,0.35,true,35,XFN 16 - X Fight Nights 16
Top FC,tier4,0.35,true,35,Top FC 15 - Top Fighting Championship 15
SC,tier4,0.35,true,35,SC - Strike Combat
Showdown Fights,tier4,0.35,true,35,Showdown Fights 10 - Collard vs. Clements
UNF,tier4,0.35,true,34,UNF 13 - Up Next Fighting 13
FAC,tier4,0.35,true,34,FAC 18 - Fighting Alliance Championship 18
OC,tier4,0.35,true,34,OC - Oplot Challenge 90
Icon Sport,tier4,0.35,true,34,Icon Sport - Hard Times
CFX,tier4,0.35,true,34,CFX 21 - Brockton Beatdown
SCL,tier4,0.35,true,34,SCL 74 - King Of Sparta Heavyweight Series
Mr. Cage Championship,tier4,0.35,true,34,Mr. Cage Championship - Mr. Cage 42
Dangerzone,tier4,0.35,true,34,Dangerzone - Auburn
LXF,tier4,0.35,true,33,LXF 5 - Lights Out Xtreme Fighting 5
FNC,tier4,0.35,true,33,FNC - Armagedon 1 Finals
FTW,tier4,0.35,true,33,FTW - Prize Fighting Championship 4
OMMAC,tier4,0.35,true,33,OMMAC 17 - High Octane
Caged Aggression,tier4,0.35,true,32,Caged Aggression 21 - The Champions: Day 2
NCF,tier4,0.35,true,32,NCF - Nitrix Champion Fight 22
AFL,tier4,0.35,true,32,AFL 17 - Coal and Blood
The Zone FC,tier4,0.35,true,32,The Zone FC 7 - Warriors
OFC,tier4,0.35,true,31,OFC 8 - Open Fighting Championship 8
EFN,tier4,0.35,true,31,EFN - Elite Fight Night
EFC Africa,tier4,0.35,true,31,EFC Africa - Extreme Fighting Championship Africa 27
FT,tier4,0.35,true,31,FT 1 - Full Throttle 1
Venator FC,tier4,0.35,true,30,Venator FC 12	 - Paterno vs. Hangs
BTC,tier4,0.35,true,30,BTC 1 - Genesis
RXF,tier4,0.35,true,30,RXF 26 - Brasov
SCC,tier4,0.35,true,30,SCC 2 - Substance Cage Combat 2.0
MFL,tier4,0.35,true,30,MFL - Midwest Fight League
Heat,tier4,0.35,true,30,Heat - Heat 43
PC MMA,tier4,0.35,true,30,PC MMA - Pinnacle Combat 22
Strikeforce / M-1 Global,historical,0.68,false,30,Strikeforce / M-1 Global - Fedor vs. Henderson
W-1 MMA,tier4,0.35,true,30,W-1 MMA 5 - Judgment Day
MT,tier4,0.35,true,30,MT 22 - Madtown Throwdown 22
RCF,tier4,0.35,true,30,RCF - Pride & Honor 4
FCOC,tier4,0.35,true,29,FCOC - Fight Club OC
WFE,tier4,0.35,true,29,WFE - Win Fight and Entertainment 1
SWC,tier4,0.35,true,28,SWC 1 - Inception
FEN,tier4,0.35,true,28,FEN 17 - Baltic Storm
BFW,tier4,0.35,true,28,BFW 36 - Brace 36
URCC,tier4,0.35,true,28,URCC 26 - Domination
Affliction,tier4,0.35,true,28,Affliction - Day of Reckoning
SRC,tier4,0.35,true,28,SRC - Sengoku Raiden Championship 12
FEFoMP,tier4,0.35,true,28,FEFoMP - World Pankration Championship 2008
Rings Holland,tier4,0.35,true,28,Rings Holland - There Can Only Be One Champion
UVF,tier4,0.35,true,28,UVF 2 - Universal Vale Tudo Fighting 2
Destiny MMA,tier4,0.35,true,27,Destiny MMA - Na Koa 6
XK,tier4,0.35,true,27,XK 20 - Xtreme Kombat 20
CFS,tier4,0.35,true,27,CFS 15 - Cage Fight Series 15
WFL,tier4,0.35,true,27,WFL 4 - Warriors Fighter Life 4
DF,tier4,0.35,true,26,DF - Demo Fight 6
Fight Time Promotions,tier4,0.35,true,26,Fight Time Promotions - Fight Time 32
LF,tier4,0.35,true,26,LF - Lion Fight
NG,tier4,0.35,true,26,NG - Noc Gladiatora 9
Vale Tudo Japan,tier4,0.35,true,26,Vale Tudo Japan - VTJ 2nd
RUFF,tier4,0.35,true,26,RUFF 12 - Ranik Ultimate Fighting Federation 12
League S-70,tier4,0.35,true,26,League S-70 - Plotforma S-70: 2018
MFP,tier4,0.35,true,26,MFP 220 / KLF - Kunlun Fight vs. Modern Fighting Pankration
M-1 Selection,tier3,0.55,false,26,M-1 Selection 2010 - Eastern Europe Finals
UCW,tier4,0.35,true,26,UCW 12 - Heatwave
WR,tier4,0.35,true,26,WR 9 - Warriors Realm 9
DCS,tier4,0.35,true,25,DCS 71 - Summer Kick-Off Night 1
ExciteFight,tier4,0.35,true,25,ExciteFight - Conquest of the Cage
Wreck MMA,tier4,0.35,true,25,Wreck MMA - Unfinished Business
HKFC,tier4,0.35,true,25,HKFC - Hard Knocks 54
MD,tier4,0.35,true,25,MD 12 - Mass Destruction 12
SFH,tier4,0.35,true,24,SFH 8 - Prado vs. Espindola
Future MMA,tier4,0.35,true,24,Future MMA - Road to Future 3
Urijah Faber's A1 Combat,tier4,0.35,true,24,Urijah Faber's A1 Combat 32 - Brand vs. Ewing
JMMAS,tier4,0.35,true,24,JMMAS - Jackson's MMA Series 13
Rizin,tier2_5,0.68,false,24,Rizin 5 - Rizin 2017 in Yokohama: Sakura
UCS,tier4,0.35,true,24,UCS - Battle at the Barn 2
UKMMAC,tier4,0.35,true,24,UKMMAC 7 - Rage & Fury
UGC,tier4,0.35,true,23,UGC 32 - Moment de Verite
CCFC,tier4,0.35,true,23,CCFC - The Return
GFS,tier4,0.35,true,23,GFS - Gateway Fighting Series 9: Inferno
EMMA,tier4,0.35,true,23,EMMA 2 - Extreme FC: Conflicto
Aspera FC,tier4,0.35,true,23,Aspera FC 52 - Aspera Fighting Championship 52
HRMMA,tier4,0.35,true,23,HRMMA - Hardrock MMA 77: Pro/Am
Brutaal,tier4,0.35,true,23,Brutaal - Fight Night
