organisation,tier,tierMultiplier,needsReview,fightCount,sampleEvent
FSLB,tier4,0.35,true,2,FSLB - Fight Ship Looking Boy 1
NFT Gym,tier4,0.35,true,2,NFT Gym - National Fighting Championship 1
Fight K,tier4,0.35,true,2,Fight K - Aguia
Kraze in the Cage,tier4,0.35,true,2,"Kraze in the Cage - Chapter 7, Vol. 2"
One Pride MMA Fight,tier2_5,0.68,false,2,One Pride MMA Fight 13 - Part 1
Knock-Out MMA,tier4,0.35,true,2,Knock-Out MMA - KNO World Tour 2
DCC,tier4,0.35,true,2,DCC 9 - Desert Combat Challenge
FLABBP,tier4,0.35,true,2,FLABBP - Round 2: Tournament of Champions
Hooligan Fight Show,tier4,0.35,true,2,Hooligan Fight Show - Battle for Tula 3
Insano Empalux,tier4,0.35,true,2,Insano Empalux - Grand Prix
HK,tier4,0.35,true,2,HK - Hero Kombat 1
CDM,tier4,0.35,true,2,CDM - Cupide del MMA 2
MMA Battle Arena,tier4,0.35,true,2,MMA Battle Arena - Battle Arena 62
FP,tier4,0.35,true,2,FP - Fighter Physique
IWFC,tier4,0.35,true,2,IWFC - Beat365: Changbai Mountain Hero List
UFT,tier4,0.35,true,2,UFT - Ultimate Fighting Tournament 3
WL,tier4,0.35,true,2,WL 3 - Warriors League 3
All Star Promotions,tier4,0.35,true,2,All Star Promotions - Civic Disobedience 4
Santa Ynez,tier4,0.35,true,2,Santa Ynez - MMA
RAC,tier4,0.35,true,2,RAC 10 - Rise and Conquer 10
Striker's House Cup,tier4,0.35,true,2,Striker's House Cup 31 - Fight Against Drugs
WCSA Combat Ring,tier4,0.35,true,2,WCSA Combat Ring 29 - Steel Heart 10
MMAPU,tier4,0.35,true,2,MMAPU - MMA Pro Ukraine 11
KFL,tier4,0.35,true,2,KFL 3 - Khiza Fight League
Rizin Fighting Federation,tier2_5,0.68,false,2,Rizin Fighting Federation - Iza no Mai
Rkena FC,tier4,0.35,true,2,Rkena FC 2 - Rkena Fighting Championship
Fist Fight League,tier4,0.35,true,2,Fist Fight League - Fist Fight Night 2
Rio Fight,tier4,0.35,true,2,Rio Fight - Rio Fight Championship 5
Fist Series,tier4,0.35,true,2,Fist Series - WinterFist 2008
OCF,tier4,0.35,true,2,OCF - Orlando City Fights
RMBB / TB,tier4,0.35,true,2,RMBB / TB - A Champion's Quest
Fight Circuit MMA,tier4,0.35,true,2,Fight Circuit MMA - Victorious
SJW,tier4,0.35,true,2,SJW 2 - Slammin Jammin Weekend 2
Industrials,tier4,0.35,true,2,Industrials - Siberian Division 2
971 Fighting Championship,tier4,0.35,true,2,971 Fighting Championship - 971 FC 2
Vex,tier4,0.35,true,2,Vex - Vex Combat 4
Costa Combat,tier4,0.35,true,2,Costa Combat - MMA Costa Combat 5
WCMMA,tier4,0.35,true,2,WCMMA 1 - Portugal vs. USA
JB Sports / Live Nation,tier4,0.35,true,2,JB Sports / Live Nation - Rock Out Knock Out
Sprawl & Brawl,tier4,0.35,true,2,Sprawl & Brawl - Sprawl & Brawl FC 4
Tajikistan MMA Federation,tier4,0.35,true,2,Tajikistan MMA Federation - Battle of Champions 3
Heroine FC,tier4,0.35,true,2,Heroine FC 2 - Heroine Fighting Championship 2
Made Men Promotions,tier4,0.35,true,2,Made Men Promotions - Rivers Rumble MMA
JCK Bounty Challenge Series,tier4,0.35,true,2,JCK Bounty Challenge Series - 2020 Trials Championship
Kingway & Beijing Combat,tier4,0.35,true,2,Kingway & Beijing Combat - Kingway & Beijing Combat
K-1 Brazil,tier4,0.35,true,2,K-1 Brazil - Next Generation
NDG,tier4,0.35,true,2,NDG - Noche de Gladiadores
TWC Pro Series,tier4,0.35,true,2,TWC Pro Series - Anderson vs. Veerella
Elite Fight Night,tier4,0.35,true,2,Elite Fight Night 7 - Balada Fight Campinas
Ukraine MMA Federation,tier4,0.35,true,2,Ukraine MMA Federation - MMA Cup of Sumy
Fair Fight,tier4,0.35,true,2,Fair Fight - MMA Edition
CMTA,tier4,0.35,true,2,CMTA - Pardal Gladidators Night Cage 3
Buddy Gym,tier4,0.35,true,2,Buddy Gym - Buddy MMA Clash 3
AFG,tier4,0.35,true,2,AFG - Arena Fighting Games
AOS4,tier4,0.35,true,2,AOS4 - Art of Scrap 4: Brooks vs. Bastos
MMA Galla,tier4,0.35,true,2,MMA Galla - Vol. 4
KMMAC,tier4,0.35,true,2,KMMAC - Kumite MMA Combate
SSF,tier4,0.35,true,2,SSF - Super Sambo Festival
Deep & Pancrase,tier3,0.55,false,2,Deep & Pancrase - Osaka Tournament 2020
ECFP,tier4,0.35,true,2,ECFP - Resurgence
Combate Americas: Mexico vs. Spain,tier4,0.35,true,2,Combate Americas: Mexico vs. Spain - Capella vs. Herrera
FSF MMA,tier4,0.35,true,2,FSF MMA - New Beginning
Scythian Gold,tier4,0.35,true,2,Scythian Gold - MMA Fight Night
FFN,tier4,0.35,true,2,FFN - Fighters Fight Night
A&FC,tier4,0.35,true,2,A&FC - Angels & Fight Contest
Russian MMA Union,tier4,0.35,true,2,Russian MMA Union - St. Petersburg MMA Championship 1
OctagonMMA Warriors,tier4,0.35,true,2,OctagonMMA Warriors - Nurmagomedov vs. Akinin
SMMAI,tier4,0.35,true,2,SMMAI - Tornado
MFT,tier4,0.35,true,2,MFT - Fedor Emelianenko Cup
Tribe Tokyo Fight,tier4,0.35,true,2,Tribe Tokyo Fight - TTF Challenge 03
UCU,tier4,0.35,true,2,UCU 2 - Unarmed Combat Unleashed 2
Night of Champions,tier4,0.35,true,2,Night of Champions - Night of Champions 4
CHF,tier4,0.35,true,2,CHF - Crazy Horse Fights
Fight for Glory,tier4,0.35,true,2,Fight for Glory - First Round
StandUpWar,tier4,0.35,true,2,StandUpWar 3 - Rising Stars
Xtreme Fight Promotions,tier4,0.35,true,2,Xtreme Fight Promotions - XFP: The Holiday Fight Fest
Lights Out / Bash Entertainment,tier4,0.35,true,2,Lights Out / Bash Entertainment - Fight Night at Sportsmen's Lodge 2
Lenox FC,tier4,0.35,true,2,Lenox FC - Lenox Fight Competition 3
MSC,tier4,0.35,true,2,MSC - MMA Sanda Combat 2
Ultra Elite Fighters,tier4,0.35,true,2,Ultra Elite Fighters 4 - Limited Edition
UCL,tier4,0.35,true,2,UCL - Underground Combat League
ArcticNorFights,tier4,0.35,true,2,ArcticNorFights - Middleweight Grand Prix
Fight Club Promotion,tier4,0.35,true,2,Fight Club Promotion - Peresvet Shield Challenge 2
Voronezh MMA Federation,tier4,0.35,true,2,Voronezh MMA Federation - Fight Riot 2
559 Fights,tier4,0.35,true,2,559 Fights 115 - 559 Fights
FCT,tier4,0.35,true,2,FCT - Fight Club Tournament 3
FCK,tier4,0.35,true,2,FCK - Koszalin
Black Dragon,tier4,0.35,true,2,Black Dragon - Fight Show
Storm FC,tier4,0.35,true,2,Storm FC 5 - Storm Fighting Championship 5
Ronin FC,tier4,0.35,true,2,Ronin FC 2 - Ronin Fighting Championships
RNC,tier4,0.35,true,2,RNC - Martial Arts Gala
MOTM,tier4,0.35,true,2,MOTM - Melee on the Mountain
Fighting China,tier4,0.35,true,2,Fighting China - Fighting China
MOF,tier4,0.35,true,2,MOF - Marajo Open Fight 2
Epic Fight Night,tier4,0.35,true,2,Epic Fight Night 2 - Norwood vs. Marriott
Eco Fight,tier4,0.35,true,2,Eco Fight 16 - Expo Fight
Gladiadores MMA,tier4,0.35,true,2,Gladiadores MMA 4 - Simao vs. Roberto
Shogun Fights,tier4,0.35,true,2,Shogun Fights - Fort Lauderdale
TMAC,tier4,0.35,true,2,TMAC 2 - Total Martial Arts Challenge 2
WAM,tier4,0.35,true,2,WAM - Fabinski vs. Herb
GB,tier4,0.35,true,2,GB - Global Battle
URCC: BETS,tier4,0.35,true,2,URCC: BETS - Battle Extreme Tournament of Superstars
OPFA,tier4,0.35,true,2,OPFA - Safari Fight Night
European Fight League,tier4,0.35,true,2,European Fight League 2 - Spartans
Max Fight,tier4,0.35,true,2,Max Fight 15 - Ilha Comprida
WPFL,tier4,0.35,true,2,WPFL - World Pan Fighting League
LMI,tier4,0.35,true,2,LMI 13 - Lutador MMA Invictus 13
CBC,tier4,0.35,true,2,CBC - Colosseum Battles Champions
Top Fight,tier4,0.35,true,2,Top Fight - Battle of the Gyms
Luta Contra o Crack,tier4,0.35,true,2,Luta Contra o Crack - Fight Against Crack
Vicosa MMA,tier4,0.35,true,2,Vicosa MMA - Vicosa Fight 2
SKC,tier4,0.35,true,2,SKC 4 - Supreme Kombat Challenge 4
Dare Fight Sports,tier4,0.35,true,2,Dare Fight Sports - Dare 2/12
Duel for Domination,tier4,0.35,true,2,Duel for Domination - MMA Extravaganza
Frontline Fight Series,tier4,0.35,true,2,Frontline Fight Series 1 - Vina vs. Junior Abedi
BOC,tier4,0.35,true,2,BOC - Battle of Champions 2
Fort MMA,tier4,0.35,true,2,Fort MMA 2 - Higo vs. Kevin
Fightor,tier4,0.35,true,2,Fightor 1 - Lister vs. Knaap
CJF,tier4,0.35,true,2,CJF - Campos de Jordao Freestyle
TKF,tier4,0.35,true,2,TKF 1 - The King Fight 1
PML,tier4,0.35,true,2,PML 15 - Professional Muaythai League 15
GMA,tier4,0.35,true,2,GMA 7 - Germany vs. Lithuania
Circuito de Lutas,tier4,0.35,true,2,Circuito de Lutas - Fight Night
Inner Strength MMA,tier4,0.35,true,2,Inner Strength MMA 18 - Legacy Lives On
Triple Threat,tier4,0.35,true,2,Triple Threat - Fight Night 1
Ural FC X Ozon,tier4,0.35,true,2,Ural FC X Ozon - Akhmedov vs. Cavaleiro
OGC,tier4,0.35,true,2,OGC - Odessa Golden Cup
Bellator Champions Series San Diego,tier2_5,0.68,false,2,Bellator Champions Series San Diego - Nurmagomedov vs. Shabliy
Brawl,tier4,0.35,true,2,Brawl - Brawl International 2
HEF,tier4,0.35,true,2,HEF - Hess Extreme Fighting
Power Plant Productions,tier4,0.35,true,2,Power Plant Productions - Metal & Mayhem 2
Titan Channel,tier3,0.55,false,2,Titan Channel - War of Titans
GFSP,tier4,0.35,true,2,GFSP - Gladiador Fight 3
Bring it On,tier4,0.35,true,2,Bring it On - Under Destruction
BOK,tier4,0.35,true,2,BOK - Battle of Kings
RTR,tier4,0.35,true,2,RTR 2 - Ready To Rage
GFP,tier4,0.35,true,2,GFP - Golden Fist Russia
SOP,tier4,0.35,true,2,SOP - Star of Peresvit
IM,tier4,0.35,true,2,IM 1 - Team Saint Petersburg vs. Team France
PGM,tier4,0.35,true,2,PGM - Russia vs. Novgorod
CQC,tier4,0.35,true,2,CQC - Close Quarters Combat
Budo,tier4,0.35,true,2,Budo 16 - Round vs. James
Trojan MMA,tier4,0.35,true,2,Trojan MMA - Trojan Warfare
MedVid,tier4,0.35,true,2,MedVid - Anno Domini 1
POA,tier4,0.35,true,2,POA - Pride of Albuquerque
Sokol Fighting,tier4,0.35,true,2,Sokol Fighting - Sokol 2
Olympic Platform Foundation,tier4,0.35,true,2,Olympic Platform Foundation - Friendship of Peoples Grand Prix 2017
PCS,tier4,0.35,true,2,PCS 3 - Paradigm Combat Sports 3
Last Man Standing,tier4,0.35,true,2,Last Man Standing - The Prodigy
EMS,tier4,0.35,true,2,EMS - Middleweight Tournament Opening Round
Tear Up,tier4,0.35,true,2,Tear Up 7 - Murch vs. Paul
PPFN,tier4,0.35,true,2,PPFN - Pain Pit Fight Night 3
Cabo Xtreme Combat,tier4,0.35,true,2,Cabo Xtreme Combat - Battle at the Beach
WKG & M-1 Challenge,tier4,0.35,true,2,WKG & M-1 Challenge 100 - Bogatov vs. Silva
Time of Masters,tier4,0.35,true,2,Time of Masters 1 - First Blood
DWTC,tier4,0.35,true,2,DWTC - Dominion Warrior Tri Combat
FOTN,tier4,0.35,true,2,FOTN - Fight of the Night 2011
MMADU,tier4,0.35,true,2,MMADU - MMA Down Under 4
Brute Force,tier4,0.35,true,2,Brute Force 15 - In the Line of Fire
Xtreme Fighting League,tier4,0.35,true,2,Xtreme Fighting League - Vengeance
LMMA,tier4,0.35,true,2,LMMA - Lightning at Legends
Alliance Fights,tier4,0.35,true,2,Alliance Fights - Counterstrike
Fera Championship,tier4,0.35,true,2,Fera Championship - Fight Night
RDC,tier4,0.35,true,2,RDC 12 - La Resa dei Conti 12
Kingdom Promotions,tier4,0.35,true,2,Kingdom Promotions - Valentines Day Massacre
MMA Italy,tier4,0.35,true,2,MMA Italy - Battle in the Cage
Strike Off,tier4,0.35,true,2,Strike Off 6 - Battle of Warriors
Cage Fight Nights,tier4,0.35,true,2,Cage Fight Nights - CFN MMA League 1
Duelo De Giagantes,tier4,0.35,true,2,Duelo De Giagantes - Round 2
Fight Night Finland,tier4,0.35,true,2,Fight Night Finland - Turku Fight Night
Cage Kings,tier4,0.35,true,2,Cage Kings - Total Domination
CAVEMMA,tier4,0.35,true,2,CAVEMMA 3 - Rave in the Cave
Team Nogueira,tier4,0.35,true,2,Team Nogueira - MMA Circuit 1
FCA,tier4,0.35,true,2,FCA - Kaliningrad Challenge
VIP,tier4,0.35,true,2,VIP - Stage 3
K.O. Martial Arts,tier4,0.35,true,2,K.O. Martial Arts - Adrenalin-Unleashed
AXFC,tier4,0.35,true,2,AXFC 11 - Impact
AMMAFL,tier4,0.35,true,2,AMMAFL 4 - Fight Night
Trophee des Etoiles,tier4,0.35,true,2,Trophee des Etoiles 15 - Arena Goliath MMA
Dojo KO,tier4,0.35,true,2,Dojo KO - Second Elimination
BTB,tier4,0.35,true,2,BTB - Border Town Brawl
UI,tier4,0.35,true,2,UI 15 - White vs. Cook
All or Nothing,tier4,0.35,true,2,All or Nothing - Head to Head
BOF,tier4,0.35,true,2,BOF 2 - Belem Open Fight 2
Iron Man Championship,tier4,0.35,true,2,Iron Man Championship - Champions
Cage Fight Event,tier4,0.35,true,2,Cage Fight Event - Rumble in the Jungle
XCUMMA,tier4,0.35,true,2,XCUMMA - X-Combat Ultra MMA
Vipers MMA,tier4,0.35,true,2,Vipers MMA - Venom at the Snakepit
SCR,tier4,0.35,true,2,SCR - Steel City Rumble 7
Ox MMA,tier4,0.35,true,2,Ox MMA - Ox MMA
Ruckus Entertainment,tier4,0.35,true,2,Ruckus Entertainment - Ruckus 4
Jake the Snake Promotions,tier4,0.35,true,2,Jake the Snake Promotions - Cage Time 1
COVT,tier4,0.35,true,2,COVT - Ceara Open Vale Tudo 2
MOVT,tier4,0.35,true,2,MOVT 3 - Mossoro Open de Vale Tudo 3
EKE,tier4,0.35,true,2,EKE - Extreme Kumite Evolution 3
UAF,tier4,0.35,true,2,UAF - Ultimate Alliance Fights 1
Killacam Promotions,tier4,0.35,true,2,Killacam Promotions 6 - Mercenaries
808 Battleground,tier4,0.35,true,2,808 Battleground - Dropping Jaws
KCM,tier4,0.35,true,2,KCM 7 - Kauai Cage Match 7
MMA Berlin,tier4,0.35,true,2,MMA Berlin - Tournament 33
Golden Lion Promotions,tier4,0.35,true,2,Golden Lion Promotions - Christmas Bash 2010
Submission,tier4,0.35,true,2,Submission 4 - Submission Fight Night
CMFC,tier4,0.35,true,2,CMFC - Chiang Mai Fighting Championship 4
NFF,tier4,0.35,true,2,NFF - Norcal Fight Fest
Champions Night,tier4,0.35,true,2,Champions Night - Qualyfighter
MK,tier4,0.35,true,2,MK - Mega Kombat
ROFE,tier4,0.35,true,2,ROFE - Ring of Fire Europe 2/3
Real Fight Combat,tier4,0.35,true,2,Real Fight Combat - Sao Jose dos Campos
KJC,tier4,0.35,true,2,KJC - The King of Jungle Championship 2
GSF,tier4,0.35,true,2,GSF - Gringo Super Fight 8
Kongs Fighting Championship,tier4,0.35,true,2,Kongs Fighting Championship - Kongs FC 2
VTC,tier4,0.35,true,2,VTC - Brazil vs. USA
WF,tier4,0.35,true,2,WF - Wild Fight 1
Kickdown,tier4,0.35,true,2,Kickdown 74 - Grudge
Rocky Mountain MMA,tier4,0.35,true,2,Rocky Mountain MMA 2 - World's Toughest
II,tier4,0.35,true,2,II - Iowa Insanity
Powergate,tier4,0.35,true,2,Powergate - Octave
COW,tier4,0.35,true,2,COW 7 - No Way Out
CWFC USA,tier4,0.35,true,2,CWFC USA - Battle Royale
CSL,tier4,0.35,true,2,CSL - CamSoda Legends
Golden Ring,tier4,0.35,true,2,Golden Ring - Wallberg vs. Prazak
Sambo-70 / M-1 Global,tier4,0.35,true,2,Sambo-70 / M-1 Global - Sochi Open European Championships
Total Combat,tier4,0.35,true,2,Total Combat - Nevada
Intense Fighting,tier4,0.35,true,2,Intense Fighting - Caged
Fight Force,tier4,0.35,true,2,Fight Force 1 - Armageddon
COR,tier4,0.35,true,2,COR - Cage of Rage
NACC,tier4,0.35,true,2,NACC - North American Combat Challenge 2
Aggression Session,tier4,0.35,true,2,Aggression Session 2 - The Aggression Era Continues
TE,tier4,0.35,true,2,TE - Tropa de Elite 2
UFF,tier4,0.35,true,2,UFF - Ultimate Finus Fighting 2
WOTNS,tier4,0.35,true,2,WOTNS - War on the North Shore 15
EFG,tier4,0.35,true,2,EFG - Elite Fight Night 8
PG,tier4,0.35,true,2,PG 1 - Proving Grounds 1
Megdan Fighting,tier4,0.35,true,2,Megdan Fighting 9 - Under the Bright Sky
FOG,tier4,0.35,true,2,FOG - Fists of Glory
ECFC,tier4,0.35,true,2,ECFC - East Coast Fighting Championship 2
K1L,tier4,0.35,true,2,K1L - Kumite 1 League
SPC,tier4,0.35,true,2,SPC - Super Power Combat
Battle in the Ballroom,tier4,0.35,true,2,Battle in the Ballroom - SummerFist 3
Blufight MMA,tier4,0.35,true,2,Blufight MMA - Blufight 12
Infinity MMA,tier4,0.35,true,2,Infinity MMA - Infinity 3
No Mercy MMA,tier4,0.35,true,2,No Mercy MMA 1 - No Mercy MMA 1
WWCF,tier4,0.35,true,2,WWCF - Blood War
Reality Combat Championship,tier4,0.35,true,2,Reality Combat Championship 2 - The Second Encounter
ROA,tier4,0.35,true,2,ROA 3 - Rumble Of Amsterdam 3
UFI,tier4,0.35,true,2,UFI - Ultimate Fight Imperatriz 2
Combat Games MMA,tier4,0.35,true,2,Combat Games MMA - Battle at the Bay 9
ASF,tier4,0.35,true,2,ASF - Alvorada Show Fight 2
WKG MMA,tier4,0.35,true,2,WKG MMA - World Kings Glory
Fight Fiesta de Luxe,tier4,0.35,true,2,Fight Fiesta de Luxe - Unstoppable
BE,tier4,0.35,true,2,BE 2 - Boxing Explosion 2
Trboulje,tier4,0.35,true,2,Trboulje 2 - Croatia vs. Slovenia
UFD,tier4,0.35,true,2,UFD - Ultimate Fight Dubravc
HT,tier4,0.35,true,2,HT - Fight Night 5
MMA Rocks,tier4,0.35,true,2,MMA Rocks - MMA Rocks
QF,tier4,0.35,true,2,QF - Qualifight
Fearless Fighting Championship,tier4,0.35,true,2,Fearless Fighting Championship - Qualifiying
Mega Fight Sao Paulo,tier4,0.35,true,2,Mega Fight Sao Paulo - Mega Fight 3
FAME,tier4,0.35,true,2,FAME 20 - The Celebration
Cowboy MMA,tier4,0.35,true,2,Cowboy MMA - Caged Cowboys
King of the West,tier4,0.35,true,2,King of the West - Rage Against the Ropes
CRMMA,tier4,0.35,true,2,CRMMA - Costa Rica MMA 1
IFC MMA,tier4,0.35,true,2,IFC MMA - Integra FC 23
Ural FC,tier4,0.35,true,2,Ural FC 1 - Ural Fighting Championship
Shooto Estonia,tier3,0.55,false,2,Shooto Estonia - Bushido
NAC,tier4,0.35,true,2,NAC 23 - North American Challenge 23
Paul Vandale Promotions,tier4,0.35,true,2,Paul Vandale Promotions - The Beast Comes East
TNP,tier4,0.35,true,2,TNP - Redemption
LB,tier4,0.35,true,2,LB 2 - Lonestar Beatdown 2
No Love Entertainment,tier4,0.35,true,2,No Love Entertainment - War and Wheels
ECO,tier4,0.35,true,2,ECO  - Extreme Cagefighting Organization 7
RMFC,tier4,0.35,true,2,RMFC - Rocky Mountain Fight Championships 3
Flash Academy MMA,tier4,0.35,true,2,Flash Academy MMA - Fight Night Explosion 8
Thunderdome,tier4,0.35,true,2,Thunderdome - Thunderdome
MMAFC,tier4,0.35,true,2,MMAFC - MMA Fighters Club
TSP,tier4,0.35,true,2,TSP - Sport Center Gala 2
KCB,tier4,0.35,true,2,KCB 4 - Klash Champion Battlefield
XFF,tier4,0.35,true,2,XFF 7 - Xtreme Freestyle Fighting 7
NSFC,tier4,0.35,true,2,NSFC - NW Submission Fighting 1
GVT,tier4,0.35,true,2,GVT - Gladiators Vale Tudo
CVTM,tier4,0.35,true,2,CVTM - Ceara Vale Tudo Meeting
Europa MMA,tier4,0.35,true,2,Europa MMA - Coga vs. Backstrom
CNG Promotions,tier4,0.35,true,2,CNG Promotions - Queen City Meltdown
Ilha Combat,tier4,0.35,true,2,Ilha Combat 2 - Araujo vs. Zuluzinho
CGF,tier4,0.35,true,2,CGF 1 - Campo Grande Fight 1
TTCW,tier4,0.35,true,2,TTCW 2 - North vs. South
KOTCA,tier3,0.55,false,2,KOTCA - King of the Cage Australia 2
HBUP,tier4,0.35,true,2,HBUP - Huntington Beach Underground Pancrase
Extreme Fighter,tier4,0.35,true,2,Extreme Fighter - Nordeste
Oiapoque,tier4,0.35,true,2,Oiapoque - Fighter 2
MMABG,tier4,0.35,true,2,MMABG - MMA Bulgaria
NOF,tier4,0.35,true,2,NOF - Night of Fight 1
WSW,tier4,0.35,true,2,WSW - World Shoot Wrestling 1
FNW,tier4,0.35,true,2,FNW - Fight Night West 4
BITB,tier4,0.35,true,2,BITB - Battle in the Ballroom
Revolution Fight League,tier4,0.35,true,2,Revolution Fight League - Relentless
Fight King Gold Belt Contest,tier4,0.35,true,2,Fight King Gold Belt Contest - Lightweight Grand Prix
CBVT,tier4,0.35,true,2,CBVT - Campeonato Brasileiro de Vale-Tudo
TTP / PCL,tier4,0.35,true,2,TTP / PCL - Warriors Collide
WSOR,tier4,0.35,true,2,WSOR - World Series of Rumble
Allegiance,tier4,0.35,true,2,Allegiance - Allegiance 2
KZ,tier4,0.35,true,2,KZ 5 - Kombat Zone 5
TLF,tier4,0.35,true,2,TLF - Tan Lan Fight 9
CCF,tier4,0.35,true,2,CCF 4 - Colloseo Championship Fighting
AM Ford,tier4,0.35,true,2,AM Ford - Fight Night 2010
Sobral Extreme,tier4,0.35,true,2,Sobral Extreme - Evolution
S&H,tier4,0.35,true,2,S&H - Strength and Honour 10
SD,tier4,0.35,true,2,SD - Staredown
BOA,tier4,0.35,true,2,BOA - The Battle of Akersloot
Kokoro,tier4,0.35,true,2,Kokoro - Kill Or Be Killed
Gladiator MMA,tier4,0.35,true,2,Gladiator MMA - Gladiator Challenge
Hamburger Kafig,tier4,0.35,true,2,Hamburger Kafig - Second Strike
DBE,tier4,0.35,true,2,DBE - Rumble In Wyoming
Alliance,tier4,0.35,true,2,Alliance - The Uprising
RPR,tier4,0.35,true,2,RPR - River Plex Rumble
Invincible,tier4,0.35,true,2,Invincible - MMA
AAF,tier4,0.35,true,2,AAF 4 - Absolute Ada Fights 4
RTT,tier4,0.35,true,2,RTT - Road to Tokyo
Grachan / One More Chance,tier4,0.35,true,2,Grachan / One More Chance - Grachan 30 / 1MC Vol. 4
SR,tier4,0.35,true,2,SR - Spiritual Road 1st
HIP,tier4,0.35,true,2,HIP 2 - Harmful Intent Promotions 2
WP,tier4,0.35,true,2,WP - Warpath
APC,tier4,0.35,true,2,APC 1 - All Powers Combat 1
Macto Championships,tier4,0.35,true,2,Macto Championships - Osipczak vs. Redfearn
Pride and Honor,historical,0.68,false,2,Pride and Honor - Pride and Honor
Banner Promotions,tier4,0.35,true,2,Banner Promotions - Night of Combat
ETB,tier4,0.35,true,2,ETB - Enter the Beast
Iron Horse,tier4,0.35,true,2,Iron Horse - Bike and Music Festival 2007
Ring Style,tier4,0.35,true,2,Ring Style - Bad Blood 2
TFC FightZone,tier4,0.35,true,2,TFC FightZone - Back in the Zone
TS,tier4,0.35,true,2,TS - Tae Sho
Griggs Entertainment,tier4,0.35,true,2,Griggs Entertainment - Conquest FC 1
MM,tier4,0.35,true,2,MM - Meskwaki Mayhem
BBC,tier4,0.35,true,2,BBC - Bad Boy Competition
TIBF,tier4,0.35,true,2,TIBF - Take it by Force
RT,tier4,0.35,true,2,RT - Ringside Ticket
JG and TKT Promotions,tier4,0.35,true,2,JG and TKT Promotions - Fighting 4 Kidz
Ready to Rumble,tier4,0.35,true,2,Ready to Rumble - Let's Get Ready to Rumble
RDFF,tier4,0.35,true,2,RDFF 2 - Red Devil Free Fight 2
ETC,tier4,0.35,true,2,ETC - July 2002
RAR,tier4,0.35,true,2,RAR - Rumble at Raxx 22
UFA,tier4,0.35,true,2,UFA 1 - Clash at the Coliseum
IWW,tier4,0.35,true,2,IWW - Iowa Winter Warriors
ARCF,tier4,0.35,true,2,ARCF 7 - American Reality Combat 7
WCO,tier4,0.35,true,2,WCO - Kerr vs. Gavin
RnR,tier4,0.35,true,2,RnR - Rock 'N' Rumble 1
RICV,tier4,0.35,true,2,RICV 2 - Rumble in Chula Vista 2
Gleat MMA,tier4,0.35,true,2,Gleat MMA - Ver.Mega
NYEK,tier4,0.35,true,2,NYEK - New Year's Eve Knockout 1
AXC,tier4,0.35,true,2,AXC 10 - War of the Machines
KSBO,tier4,0.35,true,2,KSBO - International
10-4,tier4,0.35,true,2,10-4 - Thunder
BVC,tier4,0.35,true,2,BVC - Boa Vista Combat 3
SUF,tier4,0.35,true,2,SUF - Sky UTE Fighting
SAMP,tier4,0.35,true,2,SAMP - Showdown at McGee Park
AVT,tier4,0.35,true,2,AVT - Australia Vale Tudo
Grabaka Live,tier4,0.35,true,2,Grabaka Live - 1st Cage Attack
Savage Fight Promotions,tier4,0.35,true,2,Savage Fight Promotions - Savage Fights 2
Respect in the Cage,tier4,0.35,true,2,Respect in the Cage 1 - Expo & Fight
Shidokan,tier4,0.35,true,2,Shidokan - New Combat Festival
WVT,tier4,0.35,true,2,WVT - Wisconsin Vale Tudo
ROH,tier4,0.35,true,2,ROH 1 - Ring of Honor 1
MEF,tier4,0.35,true,2,MEF 2 - Minnesota Extreme Fight 2
ECT,tier4,0.35,true,2,ECT - Eau Claire Throwdown 2
Tennessee Shooto,tier4,0.35,true,2,Tennessee Shooto - Conquest
NOTK,tier4,0.35,true,2,NOTK - Night of the Knockout 2
FFAA,tier4,0.35,true,2,FFAA - Fight Night Championships 4
BVT,tier4,0.35,true,2,BVT - British Vale Tudo
PCR,tier4,0.35,true,2,PCR - Pancration Cup of Russia 1
Pancrase / Deep,tier3,0.55,false,2,Pancrase / Deep - Pancrase vs. Deep: Osaka
TP,tier4,0.35,true,2,TP - Calm Before the Storm
RCFC,tier4,0.35,true,2,RCFC - River City Fight Club
TK,tier4,0.35,true,2,TK - The Khan 1
FC300,tier4,0.35,true,1,FC300 - Fight Club 300
Parana Strike,tier4,0.35,true,1,Parana Strike - MMA Professional
Fighting Champions,tier4,0.35,true,1,Fighting Champions 1 - Dominguez vs. Robledo
Power Fight,tier4,0.35,true,1,Power Fight - La Batalla del Puente 5
The Iron Fight,tier4,0.35,true,1,The Iron Fight 2.0 - MMA Tournament
Combate Para,tier4,0.35,true,1,Combate Para  - Fein vs. Escorpiao
Fight1 Promotion,tier4,0.35,true,1,Fight1 Promotion - Street Fight Party 2
Fight Network,tier4,0.35,true,1,Fight Network - Mad Gym Fight Night
Octagon No Mercy,tier4,0.35,true,1,Octagon No Mercy 8 - Jurassic Army
XFM,tier4,0.35,true,1,XFM 5 - Fight Night
Uzbekistan MMA Association,tier4,0.35,true,1,Uzbekistan MMA Association - International Murod Khanturaev Memorial Tournament
Bonito Eco Fight Combat,tier4,0.35,true,1,Bonito Eco Fight Combat 2 - Negao x Slin
Aspera FC Asia,tier4,0.35,true,1,Aspera FC Asia - Aspera FC Asia 2
FPF,tier4,0.35,true,1,FPF - Fair Pay Fighting 1
