canonical_id,fullName,nationality,photo_url,photo_license,ufc_id
607dc533c6850458,Holly Holm,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Holly%20Holm%20at%20UFC%20246.jpg?width=400,Wikimedia Commons (verify per-file),holly-holm
8eb101f19687b2c1,Christos Giagos,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Christos%20Giagos%20-%202019.jpg?width=400,Wikimedia Commons (verify per-file),christos-giagos
c9ae734f2686dd84,Germaine de Randamie,Kingdom of the Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Germaine%20de%20Randamie%20at%20UFC%20Copenhagen.jpg?width=400,Wikimedia Commons (verify per-file),germaine-de-randamie
8fa232d3a73d0de7,Julio Arce,United States,,,julio-arce
73edf033b8cfef8a,Anton Turkalj,Sweden,,,meyson-dzhons-2
ae6df173f33fe54b,Bryan Barberena,United States,,,bryan-barberena
c1913c3d6026e4d0,Natan Levy,Israel,https://commons.wikimedia.org/wiki/Special:FilePath/P1940546-2%20%28cropped%29.jpg?width=400,Wikimedia Commons (verify per-file),natan-levy
c9317300533eb973,Katlyn Cerminara,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Katlyn%20Chookagian%20at%20UFC%20230.jpg?width=400,Wikimedia Commons (verify per-file),katlyn-chookagian
b44d9aa783723762,Philipe Lins,Brazil,,,philipe-lins
85e36eed269a8e5f,Josh Parisian,United States,,,josh-parisian
7155981bfdf4c28b,Joanne Wood,United Kingdom,https://commons.wikimedia.org/wiki/Special:FilePath/Joanne%20Calderwood%20at%20UFC%20Brooklyn.jpg?width=400,Wikimedia Commons (verify per-file),joanne-calderwood
05af8dd8adafc68a,Maryna Moroz,Ukraine,,,maryna-moroz
63794d4370198ec0,Tyson Pedro,Australia,https://commons.wikimedia.org/wiki/Special:FilePath/Tyson%20Pedro%20at%20UFC%20234.jpg?width=400,Wikimedia Commons (verify per-file),tyson-pedro
e891217b7a2b4f16,Jamie Pickett,United States,,,jamie-pickett
fc0cf228f2ac9a7e,Daniel Lacerda,Brazil,,,
b6c51b7cbb426717,Marcos Rogerio de Lima,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/Marcos%20Rogerio%20Pezao%20de%20Lima.jpg?width=400,Wikimedia Commons (verify per-file),marcos-rogerio-de-lima
38942375bcbe06a6,Devin Clark,United States,,,devin-clark
1581a12ff499bd32,Aliaskhab Khizriev,Russia,https://commons.wikimedia.org/wiki/Special:FilePath/Aliaskhab%20Khizriev%2C%20December%202018.jpg?width=400,Wikimedia Commons (verify per-file),aliaskhab-khizriev
340ad4c65112927b,Makhmud Muradov,Czech Republic,https://commons.wikimedia.org/wiki/Special:FilePath/Muradov2021.png?width=400,Wikimedia Commons (verify per-file),makhmud-muradov
53a21fcd399412c4,Pete Rodriguez,United States,,,pete-rodriguez
6cc637cd5f5cb08b,Malcolm Gordon,Canada,,,malcolm-gordon
186b7b196c354140,Phil Hawes,United States,,,phil-hawes
eb1777d4ea8e9571,Stephanie Egger,Switzerland,,,stephanie-egger
93635f958774e503,Wellington Turman,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/WelingtonTurman2.jpg?width=400,Wikimedia Commons (verify per-file),wellington-turman
009be4cefec0c547,Mark Madsen,Kingdom of Denmark,https://commons.wikimedia.org/wiki/Special:FilePath/Mark%20Madsen%202016-08-14.jpg?width=400,Wikimedia Commons (verify per-file),mark-madsen
94dc256b3094fcef,Marc Diakiese,United Kingdom,https://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Diakese%20UFC%20Fight%20Night%20160%20in%20Copenhagen.jpg?width=400,Wikimedia Commons (verify per-file),marc-diakiese
22b9b0e38edecc5c,Abu Azaitar,Germany,,,abu-azaitar
da2e5ecb2d502d25,Jinh Yu Frey,United States,,,jinh-yu-frey
cf9572aa5a2a4ee3,Jennifer Maia,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/Jennifer%20Maia.jpg?width=400,Wikimedia Commons (verify per-file),jennifer-maia
2bc62ac33dcb370f,Ashley Yoder,United States,,,ashley-yoder
ed2b4a84df012d8d,Kanako Murata,Japan,,,kanako-murata
