normalized_name,source,canonical_id
alexia thainara,ufc,3808fc6e211485cf
bruna brasil,ufc,90ae69e9a9137984
movsar evloev,ufc,eb764bb66e7f3030
lerone murphy,ufc,7468010a5070b907
luke riley,ufc,2c5a8031b203a4e5
michael aswell jr,ufc,bbad8cc98783fae1
michael page,ufc,de9b370a0b1c44a9
sam patterson,ufc,949e6bb465af017b
iwo baraniewski,ufc,f7012ef25547fc99
austen lane,ufc,f7d9010e13806799
roman dolidze,ufc,900105052b1946b1
christian leroy duncan,ufc,ba40e07b06503a8c
kurtis campbell,ufc,e25181125365fbe6
danny silva,ufc,07f69c437c68f468
mason jones,ufc,384b9ef43aa01a73
axel sola,ufc,a892819bc8e25b5a
nathaniel wood,ufc,00bf0d84c07bafc5
losene keita,ufc,6654318100e87744
mario pinto,ufc,3f143ed5d6b45e39
felipe franco,ufc,dad9b43cf7480f68
mantas kondratavicius,ufc,a2abca58544b6a7b
antonio trocoli,ufc,64794ca3e674f4b1
shem rock,ufc,f1195dbd3ad1d780
abdulkareem alselwady,ufc,56ae4acb4e3f6e6b
shanelle dyer,ufc,1a5943119d358e11
ravena oliveira,ufc,6eac40c13b114758
josh emmett,ufc,470ffc8f48859da9
kevin vallejos,ufc,f82c365cb6b6a2e8
amanda lemos,ufc,deadb348f846ea90
gillian robertson,ufc,bd86cff59cdab666
andre fili,ufc,37965f5e8d73ed22
jose delgado,ufc,2f88f17add7669c5
harry hardwick,ufc,93efefee6f6403e8
ion cutelaba,ufc,4b69b3ef64951c28
oumar sy,ufc,e5f3f443faf8da23
charles johnson,ufc,6b565d153901a9e1
bruno silva,ufc,0125dc31ba4e5f14
chris curtis,ufc,9fc426aaa44255d9
myktybek orolbai,ufc,96175d750571d1d3
vitor petrino,ufc,d04b8d5ce7a65c4f
steven asplund,ufc,7d1e163720b62145
elijah smith,ufc,28922ab0ce7d617b
suyoung you,ufc,b93b710e2308d189
bolaji oki,ufc,8973247f6808fbfd
manoel sousa,ufc,a175cb5d70c753c6
brad tavares,ufc,d22abf14634b6e90
eryk anders,ufc,f5e2ac299e039054
bia mesquita,ufc,531b1735dc9f2f60
montse rendon,ufc,c9abda4e3d5582ad
luan lacerda,ufc,fcd67980557f2e84
hecher sosa,ufc,205e928621a6f62d
piera rodriguez,ufc,904ca6578a6ca8eb
sam hughes,ufc,c87f8c1d3d4d01fe
max holloway,ufc,fe8d8a8c3b0afe3e
charles oliveira,ufc,01827249d3b138b8
caio borralho,ufc,b483569c9c54cfc6
reinier de ridder,ufc,db3f5063058ec38a
rob font,ufc,deb2e9b4a9179872
raul rosas jr,ufc,880ed8d5af0c13b1
drew dober,ufc,4eb5d85bfd99d0f5
michael johnson,ufc,6539dfcd12383095
gregory rodrigues,ufc,2127684a702c4006
brunno ferreira,ufc,b4fb66059bd82743
cody garbrandt,ufc,2dcc031de9b13dcc
xiao long,ufc,d11e3f2e5deb833f
donte johnson,ufc,62eb06895e1e4b0b
ricky turcios,ufc,8599d31404ff0b34
alberto montes,ufc,837d7b515e82e17f
nyamjargal tumendemberel,ufc,1e6948a1cddd5294
sumudaerji,ufc,284456a2771843a3
jesus aguilar,ufc,31ff758863c6ad36
rafael tobias,ufc,5a7dee229b27e06c
diyar nurgozhay,ufc,c3fd5865a09e741a
luke fernandez,ufc,8b41d0ebea0c3e18
rodolfo bellato,ufc,157689fad4e22542
brandon moreno,ufc,37ac5668fa9f42aa
loneer kavanagh,ufc,10a96d52c89b5469
marlon vera,ufc,8fef39098574c923
david martinez,ufc,f98cac378dcfb57b
