canonical_id,fullName,nickname,weightClass,gender,W,L,D,fightCount,height,stance,sherdogId,aliases
2bfccf5ca9b94e96,Tim Hague,,Heavyweight,Male,1,4,0,5,"6' 4""",Orthodox,Tim-Hague-19599,Tim Hague
2688bd8cfc2d2998,Mike Guymon,,Welterweight,Male,1,3,0,4,"6' 0""",Orthodox,Michael-Guymon-4015,Mike Guymon
585c56caa45ca724,Willamy Freire,,Lightweight,Male,0,1,0,1,"5' 8""",Orthodox,Willamy-Freire-12553,Willamy Freire
8340786c8fc959b0,Amilcar Alves,,Welterweight,Male,0,2,0,2,"6' 0""",Southpaw,Amilcar-Alves-23841,Amilcar Alves
ef803bac42e6a974,Marcus Davis,,Welterweight,Male,9,6,0,15,"5' 10""",Southpaw,Marcus-Davis-8592,Marcus Davis
bc4f49e80fb2c46c,Phil Baroni,,Middleweight,Male,3,7,0,10,"5' 9""",Orthodox,Phil-Baroni-278,Phil Baroni
26767c5280c68257,Greg Soto,,Welterweight,Male,1,2,0,3,"5' 11""",Orthodox,Greg-Soto-19080,Greg Soto
4c721aa373ec5009,Antonio McKee,,Lightweight,Male,0,1,0,1,"5' 8""",Southpaw,Antonio-McKee-515,Antonio McKee
cc14d3157404edc7,Joe Doerksen,,Middleweight,Male,2,7,0,9,"6' 0""",Orthodox,Joe-Doerksen-390,Joe Doerksen
b3b04484b9377c2c,Dustin Hazelett,,Welterweight,Male,5,5,0,10,"6' 1""",Orthodox,Dustin-Hazelett-11481,Dustin Hazelett
dacc4e18ecae2a91,Pat Audinwood,,Lightweight,Male,0,2,0,2,"6' 0""",Orthodox,Pat-Audinwood-25476,Pat Audinwood
82be0f1169bf850a,Aaron Wilkinson,,Lightweight,Male,0,1,0,1,"5' 10""",Orthodox,,Aaron Wilkinson
da3d92fefa826739,Tyler Toner,,Featherweight,Male,0,1,0,1,"5' 8""",Orthodox,Tyler-Toner-13539,Tyler Toner
a900ae308efe7f6e,Sako Chivitchian,,Lightweight,Male,0,1,0,1,"5' 11""",Orthodox,,Sako Chivitchian
dad38cf985c43617,Fredson Paixao,,Featherweight,Male,0,1,0,1,"5' 6""",Orthodox,Fredson-Paixao-10432,Fredson Paixao
f901c7889f44a022,Gerald Harris,,Middleweight,Male,3,1,0,4,"5' 11""",Southpaw,Gerald-Harris-17903,Gerald Harris
28de9504e826b798,Maiquel Falcao,,Middleweight,Male,1,0,0,1,"5' 11""",Orthodox,,Maiquel Falcao
491be33ae50a6ed3,Brian Foster,,Welterweight,Male,3,2,0,5,"5' 9""",Orthodox,Brian-Foster-17723,Brian Foster
4ceb248162eb2ef1,Karo Parisyan,,Welterweight,Male,8,4,0,13,"5' 10""",Orthodox,Karo-Parisyan-5153,Karo Parisyan
c8582657f57f492f,Goran Reljic,,Light Heavyweight,Male,1,3,0,4,"6' 3""",Southpaw,Goran-Reljic-10165,Goran Reljic
d9e2cb24afac3c04,Nick Osipczak,,Welterweight,Male,2,3,0,5,"6' 2""",Orthodox,Nick-Osipczak-30033,Nick Osipczak
4482c9c96cd0a69d,Alexandre Ferreira,,Light Heavyweight,Male,0,1,0,1,"5' 7""",Orthodox,,Alexandre Ferreira
89cf9b00a6b6276f,Mark Scanlon,,Welterweight,Male,0,1,0,1,"5' 9""",Orthodox,Mark-Scanlon-18253,Mark Scanlon
fd16474727b655b3,Seth Petruzelli,,Light Heavyweight,Male,0,4,0,4,"6' 0""",Orthodox,Seth-Petruzelli-2738,Seth Petruzelli
